"Player","Season","Team","Position","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"Andrei Svechnikov","24-25","CAR","R",72,950.78,30,14.73,29.89,4.73,0.119,0.22,0.33,2.71,-2.02,0.096,-0.023,0.23,-0.01,0.27,0.06
"Andrei Svechnikov","25-26","CAR","R",59,791.72,25,15.22,30.12,4.27,0.099,0.32,0.3,2.36,-1.91,0.081,-0.017,0.29,0.03,0.24,0.06
"Andrew Copp","24-25","DET","C",56,728.02,24,15.07,29.45,-1.12,-0.061,0.07,0.02,-0.69,0.43,-0.038,0.023,0.06,0.01,0.05,-0.03
"Andrew Copp","25-26","DET","C",60,779.45,23,14.92,29.68,-0.01,0.026,0.22,0.17,0.6,0.61,0.02,-0.005,0.14,0.08,0.14,0.03
"Andrew Mangiapane","24-25","WSH","L",81,931.93,26,14.21,28.18,0.74,0.033,0.11,0.16,0.23,-0.51,0.02,-0.012,0.14,-0.03,0.16,0
"Andrew Mangiapane","25-26","EDM","L",52,620.28,29,15.06,29.51,0.24,0.041,0.11,0.21,0.12,-0.12,0.059,0.018,0.14,-0.03,0.2,0
"Andrew Peeke","24-25","BOS","D",76,1260.12,39,13.6,27.08,-0.5,-0.001,0.21,0.17,-0.23,0.27,-0.002,-0.001,0.2,0.02,0.17,0
"Andrew Peeke","25-26","BOS","D",56,934.92,29,13.32,27.12,0.42,-0.012,0.25,0.28,0.52,0.1,-0.006,0.006,0.27,-0.02,0.26,0.01
"Angus Crookshank","24-25","OTT","L",8,77.88,23,13.8,28.08,-0.54,-0.023,0.2,0.12,-0.34,0.19,-0.039,-0.017,0.12,0.08,0.11,0.01
"Angus Crookshank","25-26","N.J","C",8,68.82,21,13.1,25.77,-2.42,-0.114,-0.22,-0.25,-1.22,1.21,-0.091,0.022,-0.16,-0.07,-0.1,-0.15
"Anthony Beauvillier","24-25","PIT","L",63,779.95,33,15.22,29.99,0.75,0.007,0.14,0.14,0.69,-0.05,0.026,0.019,0.17,-0.04,0.14,0
"Anthony Beauvillier","24-25","WSH","L",18,220.62,21,14.48,28.69,0.75,0.036,0.18,0.23,0.27,-0.48,0.012,-0.024,0.16,0.02,0.19,0.04
"Anthony Beauvillier","25-26","WSH","L",62,863.98,24,14.62,29.62,-0.5,0.01,0.22,0.18,0.32,0.82,0.045,0.035,0.24,-0.02,0.23,-0.05
"Anthony Cirelli","24-25","T.B","C",80,1172.17,27,15.3,30.22,1.53,0.107,0.36,0.36,0.78,-0.75,0.042,-0.065,0.27,0.09,0.27,0.09
"Anthony Cirelli","25-26","T.B","C",50,630.63,29,15.04,30.63,3.34,0.183,0.49,0.6,2.22,-1.13,0.14,-0.043,0.42,0.07,0.49,0.1
"Anthony Duclair","24-25","NYI","L",44,568.52,26,16.06,31.44,1.27,0.04,0.21,0.23,1.58,0.31,0.048,0.008,0.2,0.02,0.22,0.01
"Anthony Duclair","25-26","NYI","L",54,631.82,27,14.74,29.36,-0.03,0.003,0.12,0.1,-0.06,-0.03,0.015,0.012,0.13,0,0.11,0
"Anthony Mantha","24-25","CGY","R",13,153.83,22,14.8,29.32,0.24,-0.052,0.1,0.01,0.55,0.31,-0.039,0.013,0.14,-0.04,0.04,-0.03
"Anthony Mantha","25-26","PIT","R",58,720.33,36,14.61,28.92,0.27,0.052,0.18,0.18,0.39,0.12,0.071,0.02,0.2,-0.02,0.16,0.02
"Anthony Richard","24-25","PHI","C",15,161.57,25,14.69,28.62,-0.57,0.074,0.21,0.21,-0.19,0.38,0.037,-0.036,0.16,0.06,0.16,0.05
"Anton Lundell","24-25","FLA","C",79,1024.37,29,14.73,29.55,1.59,0.041,0.13,0.17,0.22,-1.37,-0.016,-0.056,0.07,0.06,0.08,0.09
"Anton Lundell","25-26","FLA","C",56,755.53,27,14.95,31.28,1.52,0.064,0.17,0.25,0.61,-0.91,0.042,-0.022,0.16,0.01,0.18,0.06
"Anze Kopitar","24-25","L.A","C",81,1162.23,26,15.2,30.14,1.78,0.094,0.37,0.31,1.02,-0.76,0.004,-0.09,0.26,0.11,0.19,0.12
"Anze Kopitar","25-26","L.A","C",44,604.75,22,15.07,29.9,0.89,-0.036,0.09,0.08,0.54,-0.35,-0.045,-0.009,0.06,0.03,0.05,0.03
"Arber Xhekaj","24-25","MTL","D",70,945,27,12.93,26,-1.76,-0.042,0,0.07,-0.47,1.29,0.007,0.049,0.12,-0.12,0.16,-0.09
"Arber Xhekaj","25-26","MTL","D",51,560.93,27,12.9,25.87,-0.38,-0.019,0.21,0.2,-0.16,0.22,0.004,0.023,0.22,-0.02,0.22,-0.02
"Arseny Gritsyuk","25-26","N.J","R",56,762.45,31,15.17,29.93,0.19,-0.023,0.18,0.11,-0.08,-0.27,-0.034,-0.011,0.09,0.09,0.05,0.06
"Arshdeep Bains","24-25","VAN","L",13,126.15,29,14.85,29.56,0.77,0.026,0.23,0.24,-0.01,-0.77,-0.016,-0.042,0.16,0.07,0.17,0.07
"Arshdeep Bains","25-26","VAN","L",28,243.6,31,14.16,28.37,-0.04,-0.069,-0.02,0.08,0.06,0.1,-0.021,0.048,0.09,-0.1,0.14,-0.06
"Artem Zub","24-25","OTT","D",56,972.55,29,13.88,28.29,1.41,0.059,0.25,0.24,0.88,-0.53,0.008,-0.051,0.14,0.11,0.17,0.07
"Artem Zub","25-26","OTT","D",58,972.13,25,13.98,28.43,2.29,0.106,0.38,0.39,0.76,-1.54,0.037,-0.069,0.27,0.11,0.27,0.12
"Artemi Panarin","24-25","NYR","L",80,1267.23,34,15.47,30.89,0.43,-0.043,0.14,0.11,0.64,0.21,0.009,0.052,0.2,-0.06,0.16,-0.05
"Artemi Panarin","25-26","NYR","L",52,864.52,27,15.68,31.02,-0.49,-0.007,0.18,0.11,-0.35,0.14,-0.042,-0.035,0.08,0.1,0.05,0.06
"Arthur Kaliyev","24-25","NYR","R",14,152.65,24,14.24,28.46,-0.71,-0.038,0.08,0.12,0.06,0.78,-0.005,0.034,0.12,-0.05,0.17,-0.05
"Artturi Lehkonen","24-25","COL","L",69,1115.02,39,16.68,33.27,2.99,0.073,0.19,0.26,1.94,-1.04,0.072,0,0.24,-0.04,0.24,0.02
"Artturi Lehkonen","25-26","COL","L",58,850.37,27,16.11,32.89,3.45,0.131,0.58,0.59,3.34,-0.12,0.127,-0.004,0.56,0.03,0.58,0.01
"Artyom Levshunov","24-25","CHI","D",18,331.53,24,14.05,27.35,-1.64,-0.076,0.08,0.12,-1.5,0.14,-0.043,0.032,0.14,-0.06,0.15,-0.03
"Artyom Levshunov","25-26","CHI","D",54,844.38,25,14.05,28.08,-1.33,-0.097,0.06,0.04,-0.77,0.56,-0.036,0.061,0.14,-0.08,0.12,-0.08
"Austin Watson","24-25","DET","L",13,99.78,24,13.77,26.95,-1.62,-0.058,0.01,-0.04,-0.87,0.76,-0.032,0.027,0.04,-0.03,0.02,-0.06
"Auston Matthews","24-25","TOR","C",67,990.65,30,15.71,31.33,0.45,0.082,0.32,0.37,0.17,-0.28,0.057,-0.025,0.29,0.02,0.32,0.05
"Auston Matthews","25-26","TOR","C",54,869.73,26,15.55,30.34,-1.38,-0.035,0.22,0.19,-0.19,1.19,-0.015,0.02,0.24,-0.02,0.21,-0.03
"Axel Sandin-Pellikka","25-26","DET","D",60,858.77,24,14.03,27.89,-0.84,-0.035,0.12,0.06,0.04,0.88,-0.011,0.024,0.12,0.01,0.09,-0.03
"Barclay Goodrow","24-25","S.J","C",77,854.22,40,14.1,28.33,-2.45,-0.099,-0.06,-0.05,-0.8,1.65,-0.045,0.054,0.02,-0.08,0.02,-0.08
"Barclay Goodrow","25-26","S.J","C",57,527.38,27,12.89,26.48,-1.55,-0.058,0.06,0.13,-1.37,0.18,-0.052,0.007,0.03,0.03,0.1,0.03
"Barrett Hayton","24-25","UTA","C",82,1057.23,26,15.1,30.03,1.64,0.064,0.15,0.21,1,-0.64,0.052,-0.012,0.12,0.03,0.17,0.04
"Barrett Hayton","25-26","UTA","C",54,695.15,23,14.82,30.19,1.83,0.076,0.42,0.44,0.86,-0.97,0.047,-0.029,0.34,0.09,0.37,0.07
"Beck Malenstyn","24-25","BUF","L",76,679.7,29,13.74,27.57,0.21,-0.056,0.08,0.05,-0.27,-0.48,-0.056,0,0.05,0.03,0.05,0.01
"Beck Malenstyn","25-26","BUF","L",59,549.82,28,14.09,28.32,0.05,0.026,0.16,0.18,-0.29,-0.34,-0.018,-0.044,0.05,0.11,0.06,0.12
"Beckett Sennecke","25-26","ANA","R",58,856.97,23,14.84,29.78,1.14,0.012,0.14,0.15,1.91,0.78,0.072,0.061,0.23,-0.09,0.23,-0.08
"Ben Chiarot","24-25","DET","D",81,1533.32,26,14.29,27.94,0.83,0.036,0.15,0.16,0.08,-0.74,0,-0.036,0.13,0.02,0.12,0.03
"Ben Chiarot","25-26","DET","D",60,1118.58,24,13.41,26.67,0.39,0.019,0.19,0.17,0.34,-0.05,0.003,-0.017,0.14,0.05,0.12,0.05
"Ben Hutton","24-25","VGK","D",11,143.4,24,13.59,26,0.82,0.066,0.19,0.24,0.34,-0.47,0.033,-0.033,0.13,0.06,0.18,0.06
"Ben Hutton","25-26","VGK","D",51,735.7,27,13.91,26.68,0.55,0.029,0.21,0.25,0.03,-0.53,-0.015,-0.043,0.15,0.06,0.17,0.08
"Ben Jones","24-25","MIN","C",26,212.47,25,13.32,26.06,-2.49,-0.081,-0.09,-0.04,-1.21,1.28,-0.107,-0.026,-0.11,0.02,-0.06,0.02
"Ben Jones","25-26","MIN","C",26,215.05,29,13.32,26.27,-1.37,0,0.1,0.07,-0.23,1.14,-0.021,-0.021,0,0.1,0.02,0.05
"Ben Kindel","25-26","PIT","C",55,693.87,35,14.41,28.51,0.64,0.041,0.12,0.15,0.66,0.02,0.054,0.012,0.12,0,0.14,0.01
"Ben Meyers","24-25","SEA","C",8,66.62,23,13.8,27.44,-1.23,-0.029,0.15,0.07,-0.66,0.56,-0.033,-0.004,0.13,0.02,0.05,0.02
