"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"680","Mitchell Chaffee","T.B","R","30","329.31666666667","10.977222222222","-8.91","2.89","-5.24","-7.02","0.21","-4.64","-5.03","-0.29","-4.51","-0.69","-1.59","8.78","-0.72","0.39","-11.86","-5.23","3.05","-7.95","-1.62","2.46","-9.61","-0.22","-0.27","0.88","-4.8","0.79","-6.91","-0.41","-1.15","18.97","-8.15","-2.06","-3.24","-0.24","-0.66","21.21","9.16","93.33","1.025","10.93","17.67","10.39","47.37","51.28","15.67","21.32","17.49","47.25"
"265","Zachary Sanford","ARI, CHI","L","29","293.68333333333","10.127011494253","-0.36","2.82","-1.31","0.68","1.45","-0.37","0.81","-0.51","1.19","-0.08","-1.15","11.90","0.13","-0.34","4.67","3.62","-0.29","3.69","1.73","-0.32","4.57","-0.1","-0.42","6.25","2.52","0.04","3.06","0.39","-0.67","33.91","-3.32","-1.23","-1.26","-0.39","-0.32","-38.46","6.20","94.59","1.008","9.6","12.46","5.72","49.65","62.67","17.57","16.14","13.89","55.84"
"597","Connor Dewar","MIN, TOR","C","74","684.23333333333","9.2463963963964","-7.28","2.81","-4.38","-6.71","0.57","-4.55","-4.41","0.17","-4.20","-1.31","-0.13","-12.07","-0.58","-0.25","-3.67","-4.46","0.07","-4.41","-3.32","-0.95","-5.96","-0.85","-0.48","-3.74","-1.52","1.37","-3.37","-0.33","0.16","-10.91","-6.33","5.72","-5.98","-0.31","0.33","-22.73","7.34","90.97","0.983","5.61","13.07","10.79","49.9","34.22","11.57","17.1","21.05","35.48"
"280","Ryan Pulock","NYI","D","58","1060.9666666667","18.292528735632","-1.84","2.8","-1.84","-1.39","-0.04","-0.81","-2.49","-0.49","-1.76","0.09","0.49","-4.52","-0.07","-0.03","-0.44","0.2","1.19","-0.82","-0.25","-0.79","1.27","0","-0.19","4.59","0.59","2.63","-1.93","0.09","0.4","-7.22","-6.66","8.04","-6.92","0.03","0.55","-19.09","9.43","91.68","1.011","5.54","13.57","10.69","48.41","34.15","14.82","20.47","22.96","39.22"
"293","Frederick Gaudreau","MIN","C","67","708.21666666667","10.57039800995","-6.61","2.8","-4.18","-4.78","0.84","-3.56","-5.13","1.08","-5.78","-1.53","0.67","-24.98","-0.55","0.23","-8.94","-6.08","0.73","-7.05","-1.97","1.08","-7.98","-0.4","1.16","-29.01","-5.48","-0.46","-6.47","-1.29","-0.22","-37.32","-0.52","5.39","-2.76","-0.24","-0.47","3.16","5.28","89.61","0.949","8.13","11.27","11.69","40.92","41.03","16.35","17.96","21.35","43.37"
"406","Kevin Stenlund","FLA","C","81","776.38333333333","9.5849794238683","-17.76","2.78","-8.50","-12.67","0.19","-7.65","-6.31","-0.78","-4.49","-1.55","0.72","-28.00","-1.05","0.16","-12.34","-12.32","1.27","-13.54","-4.91","1.46","-15.21","-0.75","0.54","-30.21","-9.89","-0.25","-12.12","-0.57","0.51","-30.38","-13.14","1.86","-6.98","-0.65","-0.3","-1.52","4.57","90.62","0.952","9.04","13.52","7.96","53.09","53.18","14.76","18.24","18.55","44.32"
"359","Vince Dunn","SEA","D","59","1113.7666666667","18.877401129944","7.39","2.77","1.80","3.29","5.38","-1.24","2.39","3.49","-0.97","0.11","-0.53","7.50","0.04","0.37","-3.43","1.59","1.58","-0.17","-0.9","1.49","-5.62","-0.26","-0.26","0.00","3.31","0.12","3.42","0.26","-0.03","9.09","12.05","-3.12","7.19","0.25","-0.35","26.15","8.16","94.21","1.024","9.8","13.63","6.3","41.1","60.87","22.73","18.32","15.25","59.86"
"186","Mathew Dumba","ARI, T.B","D","76","1222.0833333333","16.080043859649","-8.14","2.75","-4.83","-5.35","3.1","-5.21","-2.54","2.21","-4.26","-0.61","0.76","-13.02","-0.29","0.15","-4.43","-4.36","1.73","-5.60","-2.15","1.64","-8.41","-0.23","0.56","-13.98","-2.95","0.11","-3.62","-0.13","0.1","-4.85","-7.22","1.98","-5.06","-0.41","0.17","-31.49","8.90","90.00","0.989","6.33","13.65","9.62","47.53","39.69","14.39","19.34","19.69","42.22"
"4","Brent Burns","CAR","D","82","1276.6833333333","15.569308943089","7.05","2.74","0.99","2.7","1.66","0.17","1.54","0.01","1.15","0.66","-0.22","8.53","0.23","-0.03","2.27","3.78","0.02","2.92","2.12","-0.42","5.24","0.7","-0.29","17.41","2.22","0.57","1.32","0.17","0.09","2.47","1.27","5.47","-2.65","-0.24","0.02","-12.12","8.95","91.82","1.008","7.8","11.42","7.14","46.06","52.20","20.35","19.88","18.56","52.29"
"101","Nic Dowd","WSH","C","64","791.41666666667","12.365885416667","-11.38","2.7","-6.56","-8.61","-0.94","-5.57","-5.81","-2.09","-4.39","-0.14","-0.41","2.59","-0.69","-0.29","-5.27","-5.68","-0.51","-5.44","-2.69","-0.31","-6.09","-0.19","-0.57","6.52","-3.99","-0.27","-4.98","0.04","-0.13","5.56","-17.38","24.02","-20.04","0.04","0.37","-11.54","9.63","92.20","1.018","2.73","13.27","23.81","42.76","10.29","4.85","17.29","38.82","11.11"
"521","Pierre-Olivier Joseph","PIT","D","52","735.7","14.148076923077","-5.49","2.62","-3.26","-4.09","3.4","-4.18","-4.74","3.34","-6.61","-0.25","0.15","-3.45","-0.26","0.35","-5.52","-2.86","1.92","-4.18","-0.86","1.76","-5.54","0.24","0.19","1.63","-2.67","0.22","-3.29","-0.73","0.05","-22.41","-3.68","-1.36","-1.06","0.09","-0.23","8.84","9.35","90.41","0.998","5.87","14.44","7.83","50.56","42.86","15.74","21.12","17.94","46.73"
"321","Brandon Montour","FLA","D","66","1158.7666666667","17.557070707071","0.14","2.6","-1.15","0.81","2.67","-1.23","1.31","1.68","-0.53","-0.19","0.43","-7.52","-0.04","0.08","-1.24","-0.06","0.8","-0.89","0.12","-0.04","0.36","-0.3","0","-7.38","-0.24","1.12","-1.82","0.43","0.33","-1.54","-1.95","2.25","-2.05","-0.26","0.26","-27.11","7.11","92.41","0.995","8.6","12.32","7.51","43.29","53.38","19.16","18.69","16.36","53.94"
"325","Brayden Point","T.B","C","81","1222.1166666667","15.087860082305","8.73","2.6","2.52","8.74","3.97","2.77","6.58","3.8","2.52","1.24","1.17","1.58","0.73","0.48","2.57","7.21","4.43","2.16","3.37","2.08","2.51","0.79","0.62","2.42","5.12","3.14","1.93","0.3","0.39","-0.26","7.57","-4.38","6.21","0.33","0.31","3.41","10.77","88.21","0.990","11.78","10.56","5.89","43.74","66.67","21.5","15.76","13.06","62.22"
"266","Brett Pesce","CAR","D","70","1193.85","17.055","-1.03","2.58","-1.62","-1.54","2.01","-2.09","-1.44","0.82","-1.89","-0.56","0.38","-9.46","-0.16","0.15","-3.07","0.16","1.58","-1.59","0.28","0.45","-0.61","-0.31","0.01","-5.29","-0.16","1.5","-2.27","-0.39","0.48","-19.31","1.43","1.65","-0.41","0.07","0.01","2.45","7.30","90.29","0.976","8.19","11.36","7.39","43.02","52.58","22.06","20.05","17.84","55.29"
"702","Alexander Holtz","N.J","R","82","835.58333333333","10.190040650407","-7.62","2.58","-4.35","-4.57","2.57","-4.24","-3.58","0.73","-3.75","-0.5","-0.29","-2.26","-0.49","0.02","-4.82","-5.63","0.57","-5.90","-2","0.41","-5.49","-0.22","-0.05","-2.81","-4.84","0.21","-6.18","-0.36","-0.49","2.69","-3.87","1.02","-2.41","-0.01","0.2","-8.33","8.56","91.33","0.999","11.56","10.84","5.17","54.86","69.10","18.74","13.79","13.64","57.87"
"573","Jesperi Kotkaniemi","CAR","C","79","907.25","11.48417721519","2.14","2.57","-0.55","2.56","1.64","0.11","2.69","1.66","0.39","-0.18","0.19","-3.82","0.33","0.3","-0.50","1.14","2.43","-1.69","-0.06","2.05","-5.20","-0.36","0.05","-7.63","1.6","0.5","0.84","-0.34","0.14","-12.13","0.45","-2.17","1.44","0.63","0.05","17.33","7.05","91.02","0.981","10.91","12.23","5.89","46.89","64.96","21.69","18.98","14.22","60.41"
"121","Austin Watson","T.B","L","33","234.68333333333","7.1116161616162","-16.28","2.56","-9.06","-14.49","-1.32","-9.55","-10.79","-3.38","-8.59","-0.88","-2.11","14.22","-1.15","-0.34","-10.61","-9.78","-3.4","-7.19","-6.12","-2.64","-11.87","-0.75","-0.36","-9.45","-4.88","-1.01","-4.94","-0.17","-1.38","34.18","-11.85","9.49","-11.19","-0.02","-0.96","71.43","10.00","95.00","1.050","8.18","16.62","8.44","60.34","49.23","12.78","22.5","18.15","41.32"
"444","Andrew Peeke","BOS, CBJ","D","38","548.36666666667","14.430701754386","-2.88","2.56","-2.32","-2.54","0.02","-1.64","-1.36","-1.84","0.31","-0.09","0.08","-1.59","-0.27","0.14","-4.13","-3.57","0.82","-4.26","-2.28","0.59","-7.01","-0.35","-0.1","-5.39","-1.71","0.3","-2.44","-0.43","0","-8.54","-4.98","1.36","-3.49","0.84","0.27","25.00","10.13","89.80","0.999","5.69","12.15","7.44","51.1","43.33","12.91","19.04","17.73","42.14"
"527","Alexandre Texier","CBJ","C","78","972.4","12.466666666667","5.68","2.56","1.36","3.63","3.87","0.08","1.8","2.14","-0.05","-0.31","-0.09","-2.31","0.01","0.44","-3.42","1.31","3.02","-1.18","0.21","1.96","-3.10","-0.3","0.38","-11.90","1.47","1.41","0.16","-0.33","-0.25","-2.81","6.53","-0.45","3.38","0.34","-0.4","29.57","7.80","91.62","0.994","9.44","13.7","9.13","43.07","50.83","17.09","18.08","18.39","48.17"
"386","Daniel Sprong","DET","R","76","761.8","10.023684210526","1.47","2.51","-0.31","2.02","3.36","-0.53","0.32","3.96","-2.76","0.21","0.34","-0.89","0.2","0.25","-0.11","0.31","3.78","-2.75","0.11","1.19","-2.25","0.37","0.37","1.18","0.26","3.46","-3.05","-0.25","0.03","-6.34","-2.57","-4.55","0.75","0.04","-0.09","4.96","10.72","90.55","1.013","7.88","10.87","6.85","50.09","53.48","14.26","15.91","15.12","48.53"
"633","Nikita Okhotiuk","CGY, S.J","D","52","765.76666666667","14.726282051282","-3.2","2.48","-2.35","-2.45","1.47","-2.31","-1.02","1.39","-1.98","-0.32","0.48","-7.02","-0.14","0.27","-3.66","-1.52","0.93","-2.22","-0.84","1.24","-4.40","-0.55","0.49","-21.49","-0.9","-0.41","-0.82","0.22","0.22","3.14","-4.14","0.5","-2.39","0.09","-0.25","11.29","6.99","89.22","0.962","3.92","9.4","8.78","52.18","30.86","15.2","15.51","19.43","43.89"
"494","Morgan Geekie","BOS","C","76","1004.0333333333","13.210964912281","1.17","2.42","-0.44","1.26","-0.01","0.80","1.63","0.6","0.96","0.01","0.08","-0.83","0.15","-0.06","2.02","1.16","1.58","-0.33","1.38","-0.89","4.85","0.2","-0.19","7.21","-0.3","3.3","-4.02","-0.09","0.01","-2.73","-0.4","4.43","-2.28","-0.19","0.38","-25.58","9.21","92.80","1.020","9.32","12.55","10.04","44.28","48.15","15.48","16.31","20.8","42.67"
"460","Michael McLeod","N.J","C","45","595.98333333333","13.244074074074","-0.55","2.39","-1.32","0.27","-1.53","1.12","1.55","-1.31","2.44","1.01","-0.83","16.20","0.03","-0.25","2.77","-2.2","1.55","-3.44","1.35","0.47","1.84","0.43","-0.37","11.43","-4.73","1.44","-7.21","0.75","-0.38","26.43","-2.83","1.03","-1.92","0.03","-0.26","16.67","11.29","91.88","1.032","8.46","16.41","13.99","46.11","37.67","14.8","20.84","23.36","38.79"
"560","Martin Fehervary","WSH","D","66","1139.1333333333","17.259595959596","0.93","2.36","-0.55","0.55","1.74","-0.64","0.01","0.58","-0.48","-0.05","-0.21","1.29","0","-0.01","0.10","0.76","0.8","-0.01","0.45","0.67","-0.45","-0.08","0.22","-5.06","0.42","0.17","0.31","0.03","-0.31","10.16","1.63","8.73","-3.20","0.01","-0.28","12.07","7.52","91.35","0.989","4.9","11.96","9.32","47.56","34.44","17.12","18.96","23.33","42.32"
"272","Sean Monahan","MTL, WPG","C","83","1043.1666666667","12.568273092369","5.06","2.32","1.30","3.08","0.99","1.31","1.98","-0.53","2.19","0.93","0.14","7.55","0.22","0.23","0.11","1.3","0.8","0.59","1.26","0.8","1.13","0.88","0.23","10.44","0.05","-0.01","0.07","0.26","-0.08","7.80","5.57","3.98","0.94","-0.19","-0.05","-10.71","10.45","92.23","1.027","9.95","11.79","12.37","43.48","44.59","17.83","17.49","23.47","43.18"
"6","Joe Pavelski","DAL","C","82","1085.3166666667","13.235569105691","-0.62","2.31","-1.26","-0.47","1.37","-1.11","-0.86","0.81","-1.45","0.16","0.21","-0.76","-0.08","0.09","-1.73","-1.12","-0.65","-0.27","-0.49","-0.48","0.23","0.08","-0.1","3.26","-0.84","-0.22","-0.58","-0.02","0.68","-15.48","4.57","5.15","-0.47","0.14","-0.29","24.16","9.96","90.82","1.008","11.61","12.49","9.34","44.61","55.41","22.33","18.24","21.01","51.53"
"227","Connor Brown","EDM","R","71","748.05","10.535915492958","-11.61","2.31","-5.76","-11.14","0.2","-6.46","-8.31","-1.22","-5.59","-2.1","-0.53","-17.66","-0.95","0.1","-8.87","-9.25","-0.86","-6.78","-4.1","0.57","-8.64","-1.45","-0.26","-23.89","-6.87","-1.91","-5.44","-0.58","-0.43","-8.57","-7.92","5.34","-6.94","-0.31","0.06","-15.58","4.82","92.79","0.976","7.38","13.15","8.34","42.27","46.94","12.83","18.13","16.52","43.72"
"291","Jordan Oesterle","CGY","D","22","287.11666666667","13.050757575758","-1.42","2.29","-1.56","-1.57","0.4","-1.21","0.77","-0.98","1.56","-0.56","1.06","-14.48","-0.16","0.11","-2.78","-0.18","-1.05","0.76","-0.61","1.22","-4.22","-0.2","0.37","-11.67","0.58","-3.03","4.07","-0.38","0.49","-16.91","-7.61","0.7","-4.01","-0.11","0.45","-19.23","7.14","86.82","0.940","5.43","9.82","3.97","66.24","57.78","16.09","14.84","13.79","53.85"
"756","Pavel Mintyukov","ANA","D","63","933.45","14.816666666667","0","2.27","-0.93","1.56","3.07","-0.73","1.17","2.17","-0.68","0.03","0.61","-4.57","0.18","0.21","0.11","2.35","1.34","1.25","1.87","1.65","1.35","0.24","0.27","1.63","0.64","-0.41","1.34","-0.34","0.48","-18.94","-1.9","2.58","-2.28","0.06","-0.02","5.56","6.78","89.70","0.965","7.71","13.11","7.39","46.73","51.06","16.52","18.25","17.61","48.40"
"754","Kevin Korchinski","CHI","D","76","1297.1166666667","17.067324561404","3.8","2.21","0.98","2.26","2.21","0.39","1.58","1.96","0.07","-0.29","0.28","-6.05","0.08","0.4","-2.42","1.48","2.12","-0.05","1.52","1.99","0.42","0","0.62","-8.86","-0.05","0.17","-0.24","-0.43","-0.2","-11.52","9.65","-4.52","7.48","0.05","-0.27","9.03","5.93","90.68","0.966","6.61","9.99","4.95","48.57","57.20","19.61","14.99","12.54","61.01"
"138","Mark Stone","VGK","R","56","732.8","13.085714285714","4.41","2.19","1.03","4.47","2.16","1.44","3.51","2.39","0.91","0.69","0.49","0.96","0.26","0.13","1.16","2.96","-0.23","2.77","1","0.71","0.58","0.68","0.49","0.39","2.62","-1.25","4.21","0.25","0.13","1.82","6.34","3.48","1.63","-0.25","-0.15","-10.67","9.62","91.99","1.016","12.53","11.87","9.25","37.75","57.52","23.42","17.77","18.42","55.97"
"611","Yegor Sharangovich","CGY","C","82","1038.25","12.661585365854","-3.45","2.19","-2.30","-1.09","0.33","-0.81","-0.56","0.27","-0.69","-0.23","1.29","-12.80","-0.16","0.11","-2.61","-1.39","1.3","-2.42","-1.27","0","-2.96","-0.36","0.65","-19.33","-0.15","1.74","-2.07","0.44","0.8","-2.40","0.56","-0.96","0.73","-0.28","0.09","-12.53","7.93","87.23","0.952","10.81","11.9","6.99","46.58","60.71","20.92","18.15","15.2","57.92"
"365","A.J. Greer","CGY","L","59","495.01666666667","8.3901129943503","-7.46","2.17","-4.03","-6.46","-0.55","-3.54","-5.66","0.79","-5.67","-0.86","-0.05","-9.65","-0.48","-0.12","-3.93","-4.25","-1.95","-2.34","-1.59","-1.26","-0.91","-0.46","0.08","-12.11","-3.55","-0.92","-3.27","-0.73","-0.56","-15.09","-10.98","1.77","-6.16","0.21","0.46","-7.49","6.64","90.91","0.975","5.7","11.27","5.58","57.94","50.54","9.82","14.42","13.58","41.97"
"431","Carl Grundstrom","L.A","R","50","521.46666666667","10.429333333333","2.14","2.15","-0.20","-0.2","-0.09","-0.04","0.39","-1.83","2.03","-0.89","-0.09","-8.90","0.07","0.08","-0.18","1.65","-0.42","1.76","-0.54","0.19","-1.63","-1.06","-0.31","-19.12","2.91","-0.81","3.85","-0.15","0.07","-5.22","-4.54","2.77","-3.52","0.41","0.25","5.56","5.42","90.28","0.957","10.82","13.23","7.36","47.98","59.49","18.64","18.75","15.19","55.10"
"248","Carter Verhaeghe","FLA","C","76","1034.75","13.615131578947","10.48","2.14","2.79","6.39","4.25","0.77","5.33","4.31","0.15","1.3","0.45","6.84","0.64","0.1","4.53","9.32","-0.23","7.73","3.28","0.04","6.48","0.52","0.03","9.93","8.05","-0.35","8.59","0.99","0.72","0.00","3.59","5.15","-1.25","0.09","-0.17","13.71","9.30","92.40","1.017","12.23","14.55","7.48","44.24","62.06","21.28","19.6","15.6","57.70"
"363","Erik Cernak","T.B","D","69","1076.95","15.607971014493","-6.55","2.14","-3.81","-5.53","0.83","-4.06","-3.44","0.77","-3.92","-0.2","-0.35","1.13","-0.26","0.09","-3.61","-1.5","1.07","-2.37","-0.22","0.39","-1.41","-0.11","-0.33","4.35","-1.71","0.9","-3.04","0","-0.02","0.55","-8.01","6.35","-7.60","-0.14","0.03","-7.84","9.98","90.96","1.009","6.63","15.71","9.75","46.24","40.48","15.27","23.23","21.78","41.20"
"220","Jaccob Slavin","CAR","D","81","1381.8833333333","17.060288065844","7.7","2.1","1.52","4.82","1.57","1.22","1.98","0.14","1.34","0.33","-0.03","3.54","0.49","0.04","3.62","5.14","0.2","3.78","2.23","0.11","4.14","0.45","-0.16","11.05","3.88","0.12","3.54","0.12","0.17","-0.31","0.86","2.43","-1.08","-0.31","0","-14.42","8.21","91.61","0.998","7.21","11.29","6.51","45.07","52.53","20.32","19.02","17.28","54.04"
"374","Brandon Carlo","BOS","D","76","1230.3","16.188157894737","-8.74","2.1","-5.00","-5.15","3.93","-5.56","-2.21","2.72","-4.33","-0.09","-0.39","3.92","-0.32","0.2","-5.19","-5.46","0.64","-5.99","-1.32","-0.59","-1.68","-0.06","-0.3","5.48","-5.51","1.64","-9.15","-0.15","-0.22","2.95","-13.08","9.72","-12.27","0.13","0.09","1.09","10.50","94.07","1.046","2.88","14.14","13.12","52.62","17.99","7.41","19.56","25.31","22.65"
"692","Jack Quinn","BUF","R","27","327.85","12.142592592593","2.69","2.1","0.16","1.63","4.35","-1.64","2.14","4.61","-2.27","0.87","0.93","-1.65","0.4","0.33","0.60","2.23","-0.4","2.32","0.33","1.13","-1.63","0.62","0.44","2.94","2.54","-2.03","5.15","0.9","0.01","12.09","-0.88","3.47","-2.12","-0.52","0.71","-39.58","10.44","90.17","1.006","11.53","11.35","7.87","45.75","59.43","20.5","15.37","15.01","57.73"
"561","Joel Farabee","PHI","L","82","1091.2","13.307317073171","0.5","2.09","-0.68","1.3","2.29","-0.75","0.92","1.38","-0.58","0.36","0.37","0.31","0.17","0.32","-1.71","1.84","1.48","0.24","0.46","2.14","-3.97","0.57","0.21","6.88","1.83","-0.88","3.20","-0.05","-0.02","-0.83","-1.98","1.29","-1.56","-0.25","0.24","-20.51","8.29","88.87","0.972","10.12","11.88","7.2","48.5","58.41","19.13","17.87","15.95","54.55"
"606","Paul Cotter","VGK","C","76","919.16666666667","12.094298245614","-2.16","2.09","-1.73","-1.83","1.21","-1.80","-2.92","0.83","-3.22","-0.85","0.19","-10.59","-0.13","-0.11","-0.10","-0.71","-1.12","0.36","-0.9","-0.95","0.16","-0.46","0.32","-15.58","0.25","-0.24","0.53","-0.47","-0.42","1.35","-4.37","3.7","-3.95","-0.06","0.26","-10.26","7.36","91.36","0.987","9.07","11.68","9.27","43.21","49.47","16.65","16.12","18.54","47.31"
"62","TJ Brodie","TOR","D","78","1422.85","18.241666666667","-3.48","2.08","-2.30","-1.31","2.05","-1.97","-0.61","1.72","-2.04","0.13","0.27","-1.53","-0.07","0.28","-3.38","-2.14","2.71","-4.32","-1.09","1.82","-6.14","0.27","0.15","1.51","-1.39","1.2","-2.99","0.01","-0.03","0.97","-1.02","0.69","-0.85","-0.22","0.21","-16.67","9.74","90.53","1.003","8.81","14.08","8.81","49.17","50.00","18.34","19.99","18.22","50.17"
"190","Tanner Pearson","MTL","L","54","574.65","10.641666666667","-4.83","2.03","-2.98","-3.76","0.11","-2.49","-4","-0.47","-3.44","-0.95","0.44","-15.20","-0.27","0.27","-4.92","-3.68","1.35","-4.76","-0.11","2.05","-4.11","-0.49","0.69","-23.00","-4.76","-0.94","-5.30","-0.47","-0.27","-6.67","-4.24","1.19","-2.96","-0.11","-0.07","-2.00","6.96","90.91","0.979","7.41","12.84","9.81","47.19","43.03","13.68","19.52","19.21","41.59"
"15","Marc Staal","PHI","D","35","437.38333333333","12.496666666667","-3.02","2.02","-2.04","0.34","1.37","-0.66","-0.24","2.07","-2.04","-0.16","-0.53","3.13","0.2","0.2","-0.17","-0.63","-1.94","1.27","-0.23","0.71","-2.14","-0.85","0.08","-21.63","-0.54","-3.53","3.61","0.41","-0.65","28.06","-6.55","6.04","-6.07","0.56","-0.18","28.57","6.75","91.39","0.981","6.17","12.89","7.27","60.5","45.92","16.19","20.85","17.83","47.58"
"33","Ian Cole","VAN","D","78","1204.3333333333","15.440170940171","-6.32","2","-3.72","-2.08","-1.88","-0.08","-0.94","-0.62","-0.29","-0.29","0.02","-2.78","-0.07","-0.3","2.47","-1.92","-1.22","-0.51","-0.19","-1.51","3.28","-0.19","0.15","-5.84","-2.32","0.38","-3.40","-0.05","-0.03","-0.54","-11.81","6.18","-9.54","-0.08","-0.16","5.21","9.98","92.13","1.021","4.04","11.41","9.32","54.8","30.22","11.96","18.23","19.13","38.46"
"189","Brady Skjei","CAR","D","80","1361.1333333333","17.014166666667","-2.82","2","-1.95","-1.81","2.2","-2.35","-1.18","2.02","-2.83","-0.58","-0.18","-3.69","-0.23","0.21","-4.29","-2.32","1.89","-3.94","-0.19","1.43","-4.04","-0.39","0","-7.06","-2.83","0.63","-3.73","-0.23","-0.16","-2.73","2.23","2.07","-0.36","-0.02","-0.09","6.27","6.93","92.40","0.993","8.07","11.15","7.1","43.86","53.20","21.73","19.97","18.47","54.06"
"388","Thomas Chabot","OTT","D","51","950.53333333333","18.637908496732","4.65","2","0.99","3.04","0.9","1.13","0.91","0.21","0.57","0.79","0.52","3.45","0.28","0.09","1.70","3.89","0.99","2.54","1.1","0.54","1.23","-0.11","0.5","-9.93","3.71","0.6","3.43","1.15","0","23.68","3.09","-1.26","2.11","0.05","0.03","1.62","9.65","88.25","0.979","6.56","10.48","5.81","46.52","53.06","20.7","18.12","14.39","58.99"
"116","Nick Bjugstad","ARI","C","76","988.03333333333","13.000438596491","3.91","1.97","0.88","3.89","1.46","1.53","3.25","0.15","2.81","0.76","-0.32","10.03","0.33","0.26","0.80","1.14","4.31","-2.66","1.21","1.2","0.18","-0.19","-0.11","-1.26","-0.1","4.15","-4.59","1.11","-0.02","22.65","4.79","1.3","1.91","0.17","-0.27","19.23","10.79","92.31","1.031","8.56","16.4","13.12","40.75","39.50","16.03","21.44","23.56","40.49"
"155","Boone Jenner","CBJ","C","58","834.13333333333","14.381609195402","3.42","1.9","0.67","1.64","0.37","0.75","0.56","0.12","0.38","0.41","0.04","3.61","0.11","-0.17","2.49","2.39","-0.41","2.47","0.11","-0.59","1.44","0.47","-0.01","8.45","3.04","0.23","2.93","-0.13","-0.06","-1.91","3.68","1.98","0.90","0.05","0.13","-1.97","9.42","91.16","1.006","10.79","14.96","10.5","35.53","50.68","18.27","19.42","20","47.74"
"738","Logan Stankoven","DAL","C","24","311.56666666667","12.981944444444","14.16","1.84","4.24","7.62","0.85","3.25","7.09","0.63","4.64","1.27","-0.07","11.09","1","0.17","5.99","8.51","0.96","5.10","6.07","1.46","7.82","0.89","-0.07","14.71","3.24","-0.67","3.69","0.63","-0.4","25.00","10.34","2.69","3.03","-0.13","0.44","-23.64","9.95","91.73","1.017","10.78","11.55","9.63","47.76","52.83","21.76","17.72","21.18","50.67"
"279","Alexander Wennberg","NYR, SEA","C","79","1039.0333333333","13.152320675105","-7.61","1.82","-3.98","-5.25","-0.49","-2.85","-2.31","-0.16","-1.88","0.32","0.13","1.76","-0.36","0.01","-3.81","-3.31","1.7","-4.75","-1.22","1.09","-5.50","-0.09","0.12","-4.09","-2.79","0.81","-4.21","0.31","-0.02","8.28","-5.22","1.97","-3.49","0.25","0.04","5.25","9.45","91.80","1.013","10.86","11.95","12.24","42.73","47.00","18.07","17.09","21.94","45.17"
"455","Pierre-Luc Dubois","L.A","C","82","1061.4","12.943902439024","-2.55","1.81","-1.83","0","2.45","-1.57","-1.56","0.68","-1.86","-0.26","0.5","-8.18","0.12","0.19","-0.97","1.56","1.05","0.31","-0.06","1.05","-2.76","-0.23","0.35","-11.49","2.17","-0.01","2.31","-0.04","0.07","-3.13","-1.13","0.56","-0.82","-0.01","0.14","-6.41","7.52","90.49","0.980","10.23","11.02","6.78","46.64","60.13","19.33","16.68","15.77","55.07"
"198","Tomas Hertl","S.J, VGK","C","54","791.13333333333","14.650617283951","9.45","1.8","3.55","5.19","-0.31","3.50","3.14","-0.9","3.64","0.16","0.3","-0.08","0.43","-0.1","5.32","5.47","-1.14","6.33","1.84","-1.37","7.12","-0.07","0.05","-2.78","4.84","0.31","5.81","0.53","-0.36","19.81","7.56","3.56","2.32","-0.24","0.76","-31.17","6.54","89.60","0.961","7.2","12.21","11.3","39.89","38.93","18.2","17.75","22.52","44.69"
"587","Rasmus Sandin","WSH","D","68","1268.0833333333","18.648284313725","0.3","1.77","-0.57","0.19","1.49","-0.72","1.14","2.33","-0.82","-0.04","-0.02","-0.21","0","0.17","-1.55","-0.3","1.07","-1.26","-1.09","0.95","-4.59","-0.44","-0.18","-6.05","1.05","0.16","1.13","0.43","-0.23","19.46","4.26","-2.51","3.58","0.13","0.47","-11.90","8.36","91.17","0.995","5.39","10.5","6.2","46.09","46.53","18.26","17.79","16.94","51.88"
"441","Trent Frederic","BOS","C","82","1025.7","12.508536585366","-1.44","1.76","-1.37","-1.98","-0.72","-0.85","-0.69","-1.18","0.38","0.04","0.14","-1.22","0.07","0.03","0.32","0.25","0.76","-0.44","0.8","0.16","1.36","0.01","0.35","-6.90","-0.73","0.8","-1.83","0.42","-0.34","21.18","-4.77","-0.55","-2.56","-0.4","0.06","-26.13","10.00","92.40","1.024","8.72","15.74","9.01","48.08","49.17","14.04","19.77","18.13","43.64"
