"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"307","Rasmus Dahlin","BUF","D","81","96.95","1.1969135802469","0","0","0","0","0","0.00","3.09","0.00","0.19","4.33","3.09","1.86","0.62","0.62","1.24","0","0","0","0","0","0.62","0.62","0.62","10.52","1.24","4.33","0","0","-"
"308","Ty Dellandrea","DAL","C","42","79.766666666667","1.8992063492063","0","0","0","0","0","-","3.01","0.00","0.4","4.51","3.76","4.51","2.26","1.5","0.75","1.5","0.75","0.75","0","0","0.75","0","3.01","0.75","0.75","3.01","24.07","36.11","30.09"
"309","Jack McBain","ARI","C","67","115.83333333333","1.728855721393","0","0","0","0","0","0.00","2.07","0.00","0.14","2.07","2.07","0.52","0.52","0.52","0","2.59","0.52","0","0.52","0","1.04","0.52","0","2.07","1.55","5.18","13.99","22.27","19.98"
"310","Kevin Bahl","N.J","D","82","148.35","1.8091463414634","0","0","0","0","0","-","0.81","0.00","0","0.81","0.81","0","0","0.4","0","1.62","0.81","0.81","0","0","0.4","1.21","1.62","2.43","0","8.09","0","0","-"
"311","Noah Dobson","NYI","D","79","89.85","1.1373417721519","0","0.67","0.67","0","0.67","25.00","0","-","0","0","0","0","0","0","0","1.34","0.67","0.67","0","0","0","1.34","0","2","0.67","12.02","0","0","-"
"312","Bo Groulx","ANA","C","45","59.083333333333","1.312962962963","0","0","0","0","0","-","4.06","0.00","0.2","4.06","4.06","2.03","0","0","1.02","0","0","0","0","0","0","1.02","3.05","3.05","1.02","5.08","21.33","27.42","44.43"
"313","Jacob Bernard-Docker","OTT","D","72","104.93333333333","1.4574074074074","0","0.57","0.57","0","0.57","33.33","0.57","0.00","0","1.14","0.57","0.57","0.57","0.57","0","0","0","0","0","0","0.57","2.29","0","2.29","0.57","14.29","0","0","-"
"314","Jordan Harris","MTL","D","56","93.3","1.6660714285714","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.64","1.29","0","0","1.29","9.65","0","0","-"
"315","Ilya Lyubushkin","ANA, TOR","D","74","200.91666666667","2.7150900900901","0","0","0","0","0","0.00","0.9","0.00","0.01","1.49","1.19","0","0","0.6","0","0.6","0.3","0.3","0","0","0.9","1.19","0.9","5.67","0.3","17.02","0","0","-"
"316","Connor Dewar","MIN, TOR","C","74","159.15","2.1506756756757","0.38","0","0","0","0.38","100.00","2.26","16.67","0.2","2.64","2.26","1.89","1.51","0.75","0","0","0","0","0","0","0.38","0","2.26","4.52","1.13","2.26","12.82","12.82","18.85"
"317","Pontus Holmberg","TOR","R","54","52.216666666667","0.96697530864198","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3","1.15","4.6","4.6","9.19","13.79","45.96"
"318","Alexander Romanov","NYI","D","81","165","2.037037037037","0","0","0","0","0","0.00","0.36","0.00","0.02","0.36","0.36","0.36","0","0.36","0","0.73","0.36","0.36","0","0","0.36","2.55","1.09","2.18","1.82","8.36","0","0","-"
"320","Rafael Harvey-Pinard","MTL","L","45","86.65","1.9255555555556","0","0.69","0.69","0","0.69","100.00","2.77","0.00","0.27","3.46","3.46","1.38","1.38","0.69","0","1.38","0.69","0.69","0","0","0.69","2.08","2.08","1.38","0.69","7.62","1.38","2.08","27.70"
"321","Simon Benoit","TOR","D","64","102.3","1.5984375","0","0","0","0","0","0.00","1.17","0.00","0.04","1.76","1.76","0","0","0.59","0","2.93","0.59","0","0.59","0","1.17","2.93","1.76","11.14","2.35","11.14","0","0","-"
"322","Reese Johnson","CHI","C","42","54.583333333333","1.2996031746032","0","0","0","0","0","-","4.4","0.00","0.45","7.69","5.5","3.3","0","2.2","0","0","0","0","0","0","1.1","0","3.3","3.3","1.1","4.4","14.29","18.69","47.63"
"323","Brayden Pachal","CGY, VGK","D","50","54.55","1.091","0","1.1","1.1","0","1.1","100.00","1.1","0.00","0","2.2","1.1","0","0","1.1","1.1","2.2","1.1","1.1","0","0","1.1","3.3","0","20.9","2.2","13.2","0","0","-"
"324","Logan O'Connor","COL","R","57","130.18333333333","2.283918128655","1.38","0","0","0","1.38","100.00","3.69","37.50","0.5","6.45","5.07","3.69","2.3","0.92","0.92","0.92","0.46","0.46","0","0","0.46","0.46","5.07","0.46","0","4.15","8.76","12.9","18.63"
"325","Nico Sturm","S.J","C","63","127.28333333333","2.0203703703704","0.47","0","0","0","0.47","100.00","2.36","20.00","0.22","4.24","3.77","1.89","0.47","0.94","0","0","0","0","0","0","0.47","0.94","2.36","1.89","0.47","2.83","25.46","17.91","27.67"
"326","Blake Lizotte","L.A","C","62","105.5","1.7016129032258","1.14","0.57","0.57","0","1.71","75.00","3.98","28.57","0.37","4.55","4.55","1.71","0.57","0","0","0","0","0","0","0","1.71","0.57","1.14","2.27","3.41","6.82","10.24","14.79","23.27"
"327","Brett Leason","ANA","R","68","149.43333333333","2.1975490196078","0.8","0","0","0","0.8","66.67","2.81","28.57","0.24","6.02","4.82","2.41","0.8","1.2","0.4","0","0","0","0","0","0","0","2.01","0.8","0.4","7.23","1.2","0","40.15"
"328","Bowen Byram","BUF, COL","D","73","69.6","0.95342465753425","0","0","0","0","0","-","0.86","0.00","0.08","0.86","0.86","0.86","0.86","0.86","0","3.45","1.72","1.72","0","0","0","0.86","2.59","1.72","0.86","7.76","0","0","-"
"329","Dylan Cozens","BUF","C","79","126.46666666667","1.6008438818565","1.42","0","0","0","1.42","100.00","6.64","21.43","0.84","10.91","8.54","6.64","2.37","1.42","0.47","0.95","0.47","0.47","0","0","0.47","0.95","5.22","2.37","1.9","0.95","35.58","46.97","20.45"
"332","John Beecher","BOS","C","52","88.833333333333","1.7083333333333","0","0","0","0","0","-","2.7","0.00","0.4","3.38","3.38","1.35","1.35","0.68","0","1.35","0.68","0.68","0","0","0","0","1.35","0","2.03","6.75","31.07","33.1","32.70"
"333","Henry Thrun","S.J","D","51","86.116666666667","1.6885620915033","0","0","0","0","0","0.00","1.39","0.00","0","2.79","2.09","0","0","1.39","0","0","0","0","0","0","0","0.7","2.09","1.39","1.39","6.27","0","0","-"
"334","Alex Vlasic","CHI","D","76","178.31666666667","2.3462719298246","0","0","0","0","0","0.00","1.68","0.00","0.21","2.02","2.02","1.35","1.01","1.01","0","5.72","1.01","0.34","0.34","0.34","0.67","1.68","2.69","1.35","0.34","7.4","0","0","-"
"335","Connor McMichael","WSH","C","80","107.48333333333","1.3435416666667","0.56","0.56","0.56","0","1.12","100.00","3.35","16.67","0.29","4.47","3.91","2.23","1.67","0","0","2.23","1.12","1.12","0","0","0.56","0.56","2.23","0","0","3.35","8.37","18.42","17.44"
"336","Thomas Harley","DAL","D","79","77.833333333333","0.98523206751055","0.77","0","0","0","0.77","50.00","3.08","25.00","0.3","3.08","3.08","1.54","0.77","0","0.77","4.63","2.31","2.31","0","0","0","1.54","0.77","0.77","1.54","10.79","0","0","-"
"337","Simon Holmstrom","NYI","R","75","104.31666666667","1.3908888888889","2.88","1.15","1.15","0","4.03","87.50","6.33","45.45","0.68","8.05","6.33","5.18","3.45","1.73","0","1.15","0.58","0.58","0","0","1.15","1.15","5.75","0","0","3.45","0.58","1.73","14.38"
"338","Jackson LaCombe","ANA","D","71","173.85","2.4485915492958","0","0.35","0.35","0","0.35","50.00","1.04","0.00","0.04","1.04","1.04","0","0","0","0","0","0","0","0","0","0.69","1.04","1.38","2.42","0.69","8.97","0","0","-"
"339","Ilya Mikheyev","VAN","R","78","61.5","0.78846153846154","0","0","0","0","0","-","7.8","0.00","0.94","10.73","10.73","5.85","1.95","1.95","0","0","0","0","0","0","0.98","0","4.88","0.98","1.95","0","0","0","-"
"340","Joel Kiviranta","COL","L","56","66.416666666667","1.1860119047619","0","0","0","0","0","-","5.42","0.00","0.52","7.23","6.32","3.61","3.61","0.9","0.9","1.81","0.9","0.9","0","0","1.81","0","2.71","1.81","0.9","2.71","0","0.9","0.00"
"341","Aliaksei Protas","WSH","C","78","66.733333333333","0.85555555555556","0","0.9","0.9","0","0.9","100.00","3.6","0.00","0.36","3.6","3.6","0.9","0.9","0.9","0","0","0","0","0","0","0","1.8","5.39","0.9","0.9","6.29","5.39","17.08","21.58"
"342","Drew O'Connor","PIT","L","79","136.63333333333","1.7295358649789","0.44","0.44","0.44","0","0.88","66.67","4.39","10.00","0.69","5.27","4.83","3.51","3.07","0.88","1.76","0","0","0","0","0","0","0.44","3.07","0.88","0.88","6.59","1.32","0.44","32.93"
"344","Braden Schneider","NYR","D","82","90.233333333333","1.100406504065","0.66","0","0","0","0.66","33.33","2.66","25.00","0.46","3.32","3.32","2.66","1.99","0.66","1.33","0","0","0","0","0","0","0.66","0","5.98","1.33","6.65","0","0","-"
"345","Kaiden Guhle","MTL","D","70","143.13333333333","2.0447619047619","0","0","0","0","0","0.00","1.26","0.00","0.04","1.68","1.26","0.42","0","0.42","0","6.71","2.1","1.26","0.84","0","1.26","2.1","1.68","4.19","0.84","14.25","0","0","-"
"346","Ridly Greig","OTT","C","72","99.066666666667","1.3759259259259","0.61","0","0","0","0.61","50.00","3.03","20.00","0.43","4.24","3.63","1.82","1.21","0","0","1.21","0.61","0.61","0","0","1.21","1.82","3.63","4.85","2.42","5.45","3.63","9.08","17.30"
"348","Jake Sanderson","OTT","D","79","234.18333333333","2.9643459915612","0","0","0","0","0","0.00","1.28","0.00","0.1","1.28","1.28","0.26","0","0.26","0","0","0","0","0","0","0.26","2.56","1.54","2.05","1.28","8.2","0.26","0","25.62"
"349","Dawson Mercer","N.J","C","82","144.1","1.7573170731707","0","0","0","0","0","0.00","3.33","0.00","0.23","5.41","5","2.5","0.42","0.42","0","0","0","0","0","0","0","0.83","0.42","0.42","2.91","3.75","2.91","1.25","29.15"
"350","Anton Lundell","FLA","C","78","99.283333333333","1.2728632478632","0","0.6","0.6","0","0.6","50.00","6.04","0.00","0.28","8.46","6.65","1.81","1.21","1.21","0","0","0","0","0","0","1.21","1.81","5.44","1.21","1.81","4.83","13.3","11.48","32.43"
"351","Tim Stützle","OTT","C","75","53","0.70666666666667","0","0","0","0","0","-","3.4","0.00","0.3","5.66","4.53","3.4","3.4","1.13","1.13","4.53","2.26","2.26","0","0","1.13","1.13","5.66","1.13","1.13","2.26","10.19","7.92","63.68"
"352","Brock Faber","MIN","D","82","242.73333333333","2.960162601626","0","0","0","0","0","-","0.49","0.00","0","0.49","0.49","0","0","0.25","0","0","0","0","0","0","0","1.48","0.25","2.22","1.48","7.17","0","0","-"
"353","Wyatt Kaiser","CHI","D","32","56.866666666667","1.7770833333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1.06","1.06","0","0","0","13.72","0","0","-"
"354","Artem Zub","OTT","D","69","195.53333333333","2.8338164251208","0.31","0","0","0","0.31","25.00","0.61","50.00","0.21","0.61","0.61","0","0","0.31","0","0","0","0","0","0","0.61","1.23","0.31","3.99","0.31","9.51","0","0","-"
"355","Nils Aman","VAN","C","43","62.133333333333","1.4449612403101","0","0","0","0","0","0.00","3.86","0.00","0.39","3.86","3.86","1.93","1.93","0.97","0","0","0","0","0","0","0.97","0.97","2.9","0.97","0.97","0.97","3.86","1.93","64.38"
"357","William Eklund","S.J","L","80","68.966666666667","0.86208333333333","0","0.87","0.87","0","0.87","100.00","4.35","0.00","0.63","6.09","6.09","5.22","2.61","1.74","0","0","0","0","0","0","0","0","3.48","0","0.87","1.74","0","4.35","0.00"
"358","Owen Power","BUF","D","76","142.35","1.8730263157895","0","0.42","0.42","0","0.42","33.33","1.69","0.00","0.02","1.69","1.69","0.42","0","0.42","0","0","0","0","0","0","0.42","2.11","0.42","0.84","0.42","9.27","0","0","-"
"359","Cole Sillinger","CBJ","C","77","157.13333333333","2.0406926406926","0","0.38","0.38","0","0.38","100.00","4.58","0.00","0.45","7.64","6.11","3.44","1.15","1.91","0.76","0","0","0","0","0","0.38","0.38","3.44","0","0.76","5.35","10.69","18.71","13.89"
"360","Wyatt Johnston","DAL","C","82","116.1","1.4158536585366","1.55","0","0","0","1.55","75.00","4.13","37.50","0.48","5.68","4.65","3.1","2.07","2.07","0","1.03","0.52","0.52","0","0","0.52","0","4.13","1.03","1.55","2.07","15.5","17.05","24.61"
"361","Pavel Mintyukov","ANA","D","63","61.316666666667","0.97328042328042","0","0.98","0.98","0","0.98","50.00","1.96","0.00","0.04","1.96","1.96","0.98","0","0","0","0","0","0","0","0","0","0.98","0.98","6.85","0","4.89","0","0","-"
"362","Simon Nemec","N.J","D","60","51.916666666667","0.86527777777778","0","0","0","0","0","-","2.31","0.00","0.43","4.62","4.62","3.47","1.16","2.31","0","4.62","2.31","2.31","0","0","1.16","0","0","2.31","1.16","5.78","0","0","-"
"363","Zach Benson","BUF","L","71","54.333333333333","0.76525821596244","0","0","0","0","0","0.00","2.21","0.00","0.47","4.42","3.31","3.31","3.31","3.31","1.1","0","0","0","0","0","1.1","0","1.1","0","2.21","3.31","1.1","2.21","36.81"
