"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"164","Robby Fabbri","DET","C","68","139.23333333333","2.0475490196078","108.59","16.81","86.60","82.31","15.51","84.14","56.45","12.07","82.39","8.62","0.86","90.91","8.53","1.1","88.58","64.21","5.17","92.55","22.41","2.15","91.23","4.74","0.43","91.67","55.73","4.02","93.27","3.45","0.57","85.71","108.31","11.2","90.63","1.87","0","100.00","15.27","92.86","1.081","33.18","5.6","0.43","29.73","98.72","51.28","6.89","0.86","98.35"
"359","Leo Carlsson","ANA","C","55","121.81666666667","2.2148484848485","104.42","16.75","86.18","76.84","13.79","84.78","55.66","12.31","81.88","8.37","1.48","85.00","8.4","1.46","85.21","57.14","9.36","85.93","26.1","6.9","79.10","4.43","0.99","81.82","41.37","3.28","92.65","2.63","0.66","80.00","95.33","4.98","95.04","2.85","0","100.00","15.04","88.00","1.030","28.57","7.88","0.99","23.15","96.67","49.25","9.85","1.48","97.09"
"360","Adam Fantilli","CBJ","C","49","111.3","2.2714285714286","111.59","16.71","86.97","78.17","16.17","82.86","46.9","12.4","79.09","2.7","1.08","71.43","6.9","1.26","84.55","58.22","7.55","88.52","17.79","3.77","82.50","1.08","0.54","66.67","53.91","5.03","91.46","1.44","0.72","66.67","105.9","3.11","97.14","0.78","0","100.00","5.75","91.30","0.971","19.41","4.31","0.54","29.11","97.30","42.59","8.09","1.62","96.34"
"49","Nazem Kadri","CGY","C","82","251.56666666667","3.0678861788618","117.82","16.7","87.59","84.91","13.83","85.99","56.76","10.49","84.40","8.11","1.43","85.00","9.66","1.31","88.06","66.78","9.78","87.23","30.29","5.72","84.11","4.05","0.72","85.00","48.66","5.41","90.00","3.18","0.95","76.92","125.4","6.89","94.79","2.41","0","100.00","14.29","86.36","1.006","29.34","5.25","0","5.01","100.00","66.54","9.06","1.91","97.21"
"319","Dawson Mercer","N.J","C","82","118.6","1.4463414634146","96.12","16.69","85.20","60.2","14.17","80.95","42.5","11.13","79.25","4.55","3.54","56.25","5.41","1.24","81.32","44.52","8.6","83.81","19.22","3.04","86.36","2.02","1.52","57.14","33.73","7.42","81.97","2.02","2.02","50.00","96.46","5.85","94.29","1.46","0.73","66.67","10.71","68.18","0.789","22.77","5.06","2.53","40.47","90.00","42.5","7.59","3.04","93.33"
"26","Drew Doughty","L.A","D","82","266.15","3.2457317073171","101","16.68","85.82","73.94","14.2","83.89","48.92","9.92","83.14","9.02","1.35","86.96","7.85","1.44","84.48","52.75","7.66","87.31","21.42","3.61","85.59","3.61","0.9","80.00","41.78","5.41","88.54","4.51","0.6","88.24","112.34","6.19","94.78","2.93","0","100.00","18.43","86.36","1.048","24.8","3.83","0.23","7.89","99.10","56.13","5.86","1.13","98.03"
"141","Elias Lindholm","CGY, VAN","C","75","216.21666666667","2.8828888888889","113.77","16.65","87.23","81.86","14.43","85.01","53.56","11.65","82.13","4.72","1.66","73.91","9.32","1.41","86.87","60.77","10.27","85.55","29.97","5.27","85.04","1.94","0.83","70.00","41.07","6.66","86.05","1.85","1.11","62.50","127.46","6.41","95.21","2","0","100.00","8.81","85.71","0.945","34.69","4.99","0.28","8.6","99.21","62.16","7.77","1.94","96.97"
"69","Jeff Skinner","BUF","L","74","191.18333333333","2.5835585585586","114.55","16.63","87.32","86.93","15.38","84.97","64.02","12.24","83.95","7.53","2.2","77.42","8.19","1.58","83.84","57.75","9.42","85.98","19.46","4.71","80.52","2.51","1.26","66.67","51.05","6.28","89.05","2.93","0.84","77.78","124.21","4.53","96.48","4.08","0","100.00","11.76","82.05","0.938","37.03","5.02","0","10.36","100.00","61.51","7.22","1.26","98.00"
"295","Kaapo Kakko","NYR","R","61","68.783333333333","1.1275956284153","83.74","16.57","83.48","65.42","11.34","85.23","40.13","10.47","79.31","3.49","0","100.00","6.21","1.4","81.63","41","6.98","85.45","24.42","3.49","87.50","3.49","0","100.00","22.1","4.65","82.61","0","0","-","80.64","10.08","88.89","0","0","-","8.70","100.00","1.087","26.17","6.98","1.74","56.7","93.75","31.4","10.47","3.49","90.00"
"321","Anton Lundell","FLA","C","78","90.6","1.1615384615385","126.49","16.56","88.43","94.7","16.56","85.12","66.89","12.58","84.17","4.64","0.66","87.50","10.33","0.99","91.26","63.58","7.28","89.72","30.46","4.64","86.79","2.65","0.66","80.00","44.15","3.53","92.59","0.88","0","100.00","125.31","4.78","96.32","1.91","0","100.00","6.93","94.74","1.017","27.15","7.28","2.65","55.63","91.11","48.34","9.27","4.64","91.25"
