"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"Connor McDavid","25-26","EDM","C",61,1066.7,631,14.82,29.59,0.44,0.016,0.21,0.2,0.32,-0.12,0.012,-0.004,0.18,0.02,0.18,0.02
"Connor McMichael","25-26","WSH","C",58,750.92,617,14.47,28.91,0.41,0.014,0.18,0.19,0.36,-0.05,0.013,-0.001,0.16,0.01,0.18,0.02
"Connor Murphy","25-26","CHI","D",59,783.72,637,14.21,28.39,0.32,0.014,0.2,0.18,0.27,-0.05,0.009,-0.005,0.17,0.03,0.16,0.02
"Connor Zary","25-26","CGY","C",56,708.48,597,14.33,28.57,-0.06,-0.001,0.18,0.17,0.02,0.07,0,0.002,0.17,0.01,0.16,0.01
"Conor Garland","25-26","VAN","R",48,669.13,575,14.69,29.29,0.31,0.017,0.22,0.22,0.3,0,0.022,0.004,0.21,0.01,0.22,0.01
"Conor Geekie","25-26","T.B","C",6,56.48,106,14.25,28.47,0.87,0.034,0.21,0.21,0.75,-0.12,0.015,-0.019,0.14,0.07,0.16,0.05
"Conor Sheary","25-26","NYR","L",39,507.37,496,14.41,28.75,0.33,0.018,0.2,0.2,0.33,0,0.023,0.005,0.19,0.01,0.2,0
"Conor Timmins","25-26","BUF","D",33,523.55,436,14.53,29.02,0.68,0.023,0.23,0.21,0.53,-0.15,0.022,-0.002,0.2,0.02,0.19,0.02
"Corey Perry","25-26","L.A","R",48,528.03,576,14.11,28.23,0.21,0.01,0.18,0.17,0.1,-0.11,0.003,-0.006,0.15,0.03,0.14,0.03
"Curtis Douglas","25-26","T.B","C",29,172.88,370,13.07,26.28,-0.37,-0.016,0.07,0.06,-0.25,0.12,-0.022,-0.006,0.05,0.01,0.05,0.01
"Curtis Lazar","25-26","EDM","C",37,306.88,442,13.9,27.65,-0.18,-0.015,0.11,0.12,0.08,0.25,-0.002,0.013,0.12,-0.01,0.13,-0.01
"Cutter Gauthier","25-26","ANA","L",57,801.25,598,14.52,28.97,0.4,0.012,0.2,0.19,0.36,-0.04,0.011,-0.001,0.18,0.02,0.18,0.02
"Daemon Hunt","25-26","MIN","D",28,303.57,429,13.96,27.91,0.35,0.005,0.15,0.16,0.24,-0.1,0.004,-0.002,0.13,0.02,0.15,0.02
"Dakota Joshua","25-26","TOR","C",38,428.92,458,13.95,27.97,0.39,0.011,0.17,0.16,0.29,-0.1,0.01,-0.001,0.14,0.02,0.15,0.02
"Dakota Mermis","25-26","TOR","D",11,135.57,184,13.91,27.76,0.34,0.023,0.17,0.17,0.28,-0.06,0.018,-0.005,0.15,0.02,0.15,0.02
"Dalibor Dvorsky","25-26","STL","R",49,597.3,532,14.07,28.1,0.39,0.014,0.17,0.18,0.14,-0.25,0.003,-0.01,0.14,0.03,0.15,0.03
"Damon Severson","25-26","CBJ","D",57,1073.33,627,14.49,28.91,0.52,0.021,0.21,0.21,0.43,-0.09,0.019,-0.002,0.19,0.02,0.19,0.02
"Daniil but","25-26","UTA","L",28,310.68,426,14,28.01,0.42,0.014,0.17,0.16,0.27,-0.15,0.003,-0.011,0.14,0.03,0.13,0.03
"Danila Yurov","25-26","MIN","R",53,655.82,586,14.24,28.46,0.35,0.01,0.18,0.18,0.28,-0.07,0.011,0,0.17,0.01,0.16,0.01
"Dante Fabbro","25-26","CBJ","D",52,742.68,596,14.2,28.32,0.44,0.012,0.17,0.17,0.38,-0.06,0.011,-0.001,0.16,0.02,0.15,0.02
"Danton Heinen","25-26","CBJ","L",14,142.15,234,13.69,27.43,0.39,0.01,0.18,0.17,0.09,-0.31,-0.004,-0.014,0.14,0.04,0.13,0.04
"Danton Heinen","25-26","PIT","L",13,137.07,233,14.09,28.02,0.11,0.014,0.17,0.17,0.27,0.16,0.017,0.003,0.16,0.01,0.16,0
"Darnell Nurse","25-26","EDM","D",61,1160.2,632,14.38,28.72,0.17,0.003,0.18,0.16,0.24,0.07,0.005,0.002,0.16,0.02,0.15,0.01
"Darren Raddysh","25-26","T.B","D",52,891.48,568,14.62,29.21,0.48,0.016,0.21,0.21,0.32,-0.16,0.015,-0.001,0.2,0.02,0.19,0.02
"David Jiricek","25-26","MIN","D",25,279.13,408,13.78,27.57,0.04,0.001,0.15,0.12,0.02,-0.01,-0.002,-0.003,0.14,0.01,0.11,0.01
"David Kampf","25-26","VAN","C",36,477.57,480,14.48,28.93,0.22,0.017,0.23,0.23,0.3,0.09,0.016,-0.002,0.21,0.02,0.21,0.01
"David Pastrnak","25-26","BOS","R",54,864.9,595,14.71,29.43,0.59,0.025,0.21,0.22,0.33,-0.27,0.016,-0.009,0.19,0.03,0.19,0.03
"David Perron","25-26","OTT","L",49,546.48,584,14,28.01,0.18,0,0.16,0.16,0.09,-0.09,-0.005,-0.005,0.14,0.02,0.13,0.03
"David Tomasek","25-26","EDM","R",22,195.5,350,13.62,27.25,0.02,0.002,0.15,0.13,-0.05,-0.07,-0.009,-0.011,0.12,0.03,0.11,0.02
"Dawson Mercer","25-26","N.J","C",60,853.7,613,14.53,29.04,0.69,0.023,0.22,0.22,0.5,-0.18,0.025,0.002,0.2,0.01,0.2,0.02
"Declan Carlile","25-26","T.B","D",35,461.3,466,13.72,27.5,0.33,0.008,0.15,0.14,0.09,-0.24,-0.004,-0.012,0.12,0.03,0.11,0.03
"Declan Chisholm","25-26","WSH","D",24,315.4,374,14.01,27.89,0.19,0.005,0.17,0.15,0.12,-0.06,-0.002,-0.008,0.14,0.03,0.13,0.02
"Dennis Cholowski","25-26","N.J","D",15,212,255,13.98,28.07,0.28,0.005,0.17,0.16,0.25,-0.03,0.011,0.006,0.17,0,0.16,0
"Denton Mateychuk","25-26","CBJ","D",51,869.85,586,14.45,28.8,0.51,0.019,0.21,0.2,0.44,-0.07,0.017,-0.002,0.19,0.02,0.18,0.02
"Denver Barkey","25-26","PHI","C",24,277.32,351,14.44,28.81,0.33,0.004,0.19,0.19,0.36,0.02,0.009,0.005,0.18,0.01,0.18,0.01
"Devon Toews","25-26","COL","D",45,821.5,514,14.72,29.46,0.48,0.011,0.2,0.2,0.37,-0.11,0.012,0.001,0.19,0.01,0.18,0.01
"Dmitri Simashev","25-26","UTA","D",24,364.92,367,14.42,28.87,0.38,0.018,0.24,0.24,0.35,-0.03,0.015,-0.003,0.21,0.02,0.22,0.02
"Dmitri Voronkov","25-26","CBJ","L",58,689.73,627,14.44,28.82,0.68,0.025,0.21,0.2,0.41,-0.27,0.015,-0.01,0.18,0.03,0.17,0.03
"Dmitry Orlov","25-26","S.J","D",57,996.6,557,14.59,29.09,0.6,0.022,0.21,0.2,0.48,-0.12,0.016,-0.006,0.18,0.02,0.18,0.02
"Dominic James","25-26","T.B","C",43,488.35,517,13.8,27.57,0.25,0.01,0.17,0.16,0.09,-0.16,-0.001,-0.011,0.14,0.03,0.13,0.03
"Donovan Sebrango","25-26","FLA","D",19,227.12,299,13.45,26.86,0.21,0.019,0.17,0.16,0.05,-0.16,0.002,-0.017,0.13,0.04,0.12,0.04
"Dougie Hamilton","25-26","N.J","D",55,963.98,584,14.45,28.85,0.63,0.027,0.24,0.23,0.45,-0.18,0.02,-0.007,0.2,0.03,0.2,0.03
"Drake Batherson","25-26","OTT","R",56,783.17,602,14.43,28.78,0.46,0.011,0.2,0.19,0.3,-0.16,0.004,-0.007,0.18,0.03,0.16,0.03
"Drew Doughty","25-26","L.A","D",50,963.23,531,14.57,29.06,0.39,0.022,0.22,0.21,0.28,-0.11,0.019,-0.003,0.19,0.02,0.18,0.02
"Drew Helleson","25-26","ANA","D",49,764.92,564,14.35,28.71,0.49,0.013,0.19,0.19,0.3,-0.19,0.008,-0.005,0.17,0.02,0.17,0.02
"Drew O'Connor","25-26","VAN","L",59,727.85,640,14.24,28.41,0.14,0.011,0.2,0.19,0.18,0.05,0.011,0,0.18,0.02,0.17,0.01
"Dylan Cozens","25-26","OTT","C",59,790.1,627,14.31,28.58,0.46,0.015,0.19,0.19,0.28,-0.17,0.007,-0.008,0.16,0.03,0.16,0.03
"Dylan Demelo","25-26","WPG","D",58,1091.23,612,14.56,29.08,0.45,0.019,0.2,0.21,0.34,-0.11,0.017,-0.002,0.18,0.02,0.18,0.02
"Dylan Guenther","25-26","UTA","R",57,736.08,599,14.55,29.11,0.24,0.012,0.21,0.2,0.27,0.03,0.012,0,0.19,0.02,0.19,0.01
"Dylan Holloway","25-26","STL","L",36,533.53,477,14.38,28.65,-0.04,-0.006,0.16,0.14,0.08,0.12,-0.003,0.003,0.15,0.01,0.14,0
"Dylan Larkin","25-26","DET","C",60,878.25,606,14.9,29.79,0.75,0.026,0.24,0.25,0.54,-0.21,0.026,0,0.22,0.02,0.22,0.02
"Dylan McIlrath","25-26","WSH","D",11,99.42,183,13.5,26.95,0.06,0.003,0.14,0.13,-0.14,-0.2,-0.013,-0.017,0.11,0.03,0.09,0.04
"Dylan Samberg","25-26","WPG","D",42,766.93,516,14.56,29.07,0.57,0.029,0.22,0.23,0.46,-0.11,0.026,-0.003,0.19,0.03,0.21,0.02
"Dylan Strome","25-26","WSH","C",60,864,618,14.44,28.84,0.58,0.018,0.19,0.19,0.34,-0.23,0.008,-0.01,0.15,0.03,0.16,0.03
"Easton Cowan","25-26","TOR","R",44,524.2,533,14.08,28.11,0.37,0.012,0.16,0.17,0.26,-0.11,0.008,-0.004,0.14,0.02,0.15,0.02
"Eeli Tolvanen","25-26","SEA","R",58,746.45,597,14.68,29.28,0.27,0.008,0.2,0.2,0.3,0.03,0.013,0.005,0.19,0.01,0.19,0.01
"Eetu Luostarinen","25-26","FLA","C",51,666.27,533,14.84,29.73,0.77,0.027,0.27,0.27,0.58,-0.19,0.029,0.002,0.25,0.01,0.25,0.02
"Egor Zamula","25-26","CBJ","D",10,138.92,180,14.11,28.29,0.77,0.038,0.25,0.24,0.36,-0.42,0.012,-0.026,0.2,0.05,0.18,0.06
"Egor Zamula","25-26","PHI","D",13,173.65,218,14,28.01,0.86,0.027,0.2,0.17,0.56,-0.3,0.012,-0.015,0.15,0.05,0.13,0.04
"Elias Lindholm","25-26","BOS","C",46,609.4,544,14.74,29.45,0.48,0.02,0.21,0.21,0.29,-0.19,0.012,-0.007,0.18,0.03,0.18,0.03
"Elias Pettersson","25-26","VAN","C",51,710.82,611,14.76,29.47,0.44,0.019,0.24,0.23,0.41,-0.02,0.023,0.004,0.22,0.01,0.22,0.01
"Elias Pettersson (D)","25-26","VAN","D",49,652.48,586,14.19,28.29,0.21,0.012,0.2,0.19,0.2,-0.01,0.011,-0.002,0.18,0.02,0.17,0.02
"Elias Salomonsson","25-26","WPG","D",15,238.38,238,14.37,28.85,0.52,0.019,0.18,0.2,0.41,-0.11,0.017,-0.002,0.16,0.02,0.17,0.02
"Elmer Soderblom","25-26","DET","L",39,408.22,502,13.66,27.4,0.18,-0.001,0.16,0.16,0.2,0.02,-0.002,-0.001,0.14,0.02,0.14,0.01
"Emil Andrae","25-26","PHI","D",42,668.52,480,14.1,28.2,0.54,0.019,0.19,0.19,0.27,-0.27,0.01,-0.009,0.16,0.03,0.16,0.03
"Emil Heineman","25-26","NYI","L",60,829.35,612,14.8,29.53,0.59,0.022,0.23,0.23,0.45,-0.14,0.02,-0.002,0.2,0.02,0.21,0.02
"Emil Martinsen Lilleberg","25-26","T.B","D",34,517.45,450,14.2,28.31,0.19,0.007,0.16,0.16,0.18,-0.01,0.003,-0.003,0.14,0.02,0.14,0.02
"Emmitt Finnie","25-26","DET","C",60,781.22,606,14.73,29.43,0.62,0.018,0.22,0.22,0.48,-0.14,0.021,0.003,0.2,0.01,0.21,0.02
"Eric Robinson","25-26","CAR","L",46,479.08,530,13.76,27.57,0.13,0.003,0.12,0.14,0.1,-0.02,-0.004,-0.008,0.1,0.02,0.11,0.03
"Erik Cernak","25-26","T.B","D",39,589.83,488,14.46,29.01,0.51,0.019,0.22,0.22,0.42,-0.08,0.02,0.001,0.21,0.01,0.21,0.02
"Erik Gudbranson","25-26","CBJ","D",16,227.47,256,14.19,28.39,0.05,0.005,0.17,0.16,-0.06,-0.11,0.004,-0.001,0.15,0.02,0.14,0.02
"Erik Haula","25-26","NSH","L",59,753.37,612,14.43,28.85,0.41,0.015,0.2,0.19,0.31,-0.09,0.011,-0.004,0.18,0.02,0.17,0.02
"Erik Karlsson","25-26","PIT","D",53,939.2,575,14.59,29.1,0.38,0.014,0.21,0.2,0.3,-0.08,0.013,-0.001,0.19,0.02,0.18,0.02
"Esa Lindell","25-26","DAL","D",59,1093.7,628,14.64,29.31,0.59,0.018,0.21,0.22,0.45,-0.14,0.02,0.002,0.2,0.01,0.2,0.01
"Ethan Cardwell","25-26","S.J","R",7,79.85,126,13.95,27.88,-0.29,-0.018,0.11,0.09,-0.13,0.16,-0.022,-0.004,0.1,0.01,0.08,0.01
"Ethen Frank","25-26","WSH","C",51,559.73,532,13.96,27.87,0.23,0.006,0.15,0.16,0.17,-0.05,0.004,-0.003,0.14,0.02,0.14,0.02
"Evan Bouchard","25-26","EDM","D",61,1123.43,632,14.7,29.35,0.29,0.01,0.19,0.19,0.27,-0.02,0.008,-0.001,0.17,0.02,0.17,0.02
"Evan Rodrigues","25-26","FLA","C",58,776.42,608,14.32,28.64,0.5,0.018,0.21,0.21,0.37,-0.13,0.016,-0.002,0.2,0.02,0.19,0.02
"Evander Kane","25-26","VAN","L",58,841.77,638,14.45,28.84,0.11,0.006,0.19,0.19,0.17,0.06,0.01,0.004,0.18,0.01,0.18,0.01
"Evgeni Malkin","25-26","PIT","C",43,605.57,478,14.53,28.95,0.17,0.002,0.16,0.16,0.22,0.06,0.004,0.002,0.15,0.01,0.15,0.01
"Evgeny Dadonov","25-26","N.J","L",17,171.32,259,14.18,28.33,0.6,0.017,0.19,0.17,0.3,-0.3,0.01,-0.007,0.15,0.03,0.14,0.04
"Fabian Zetterlund","25-26","OTT","L",59,714.68,626,14.21,28.4,0.33,0.012,0.19,0.18,0.27,-0.07,0.007,-0.005,0.17,0.03,0.16,0.03
"Fedor Svechkov","25-26","NSH","C",49,548.28,555,14,27.95,0.31,0.011,0.17,0.16,0.24,-0.06,0.004,-0.006,0.16,0.02,0.14,0.02
"Filip Chytil","25-26","VAN","C",12,159.82,213,14.51,28.92,0.12,0.011,0.21,0.19,0.07,-0.05,0.01,-0.001,0.19,0.02,0.17,0.02
"Filip Forsberg","25-26","NSH","L",59,889.2,611,14.76,29.51,0.56,0.026,0.22,0.22,0.47,-0.1,0.024,-0.002,0.2,0.02,0.2,0.02
"Filip Hallander","25-26","PIT","C",13,153.77,234,14.35,28.65,-0.1,-0.001,0.18,0.17,0.07,0.17,-0.004,-0.003,0.16,0.01,0.15,0.01
"Filip Hronek","25-26","VAN","D",59,1163.33,641,14.55,29.04,0.31,0.016,0.22,0.21,0.32,0.01,0.018,0.002,0.2,0.02,0.2,0.01
"Frank Nazar","25-26","CHI","C",43,584.32,516,14.52,29.02,0.47,0.017,0.21,0.19,0.46,0,0.016,-0.002,0.19,0.02,0.18,0.02
"Frank Vatrano","25-26","ANA","R",38,398.83,490,14.12,28.2,0.07,-0.004,0.16,0.14,0.11,0.04,-0.002,0.002,0.14,0.02,0.13,0.02
"Fraser Minten","25-26","BOS","C",59,728.33,619,14.25,28.49,0.33,0.013,0.17,0.17,0.24,-0.09,0.01,-0.003,0.16,0.01,0.16,0.02
"Frederick Gaudreau","25-26","SEA","C",46,616.58,529,14.45,28.85,0.24,0.009,0.18,0.19,0.32,0.09,0.014,0.005,0.17,0.01,0.18,0.01
"Gabe Perreault","25-26","NYR","R",26,362.68,339,14.54,29.14,0.74,0.02,0.24,0.23,0.52,-0.22,0.024,0.003,0.23,0.01,0.22,0.02
"Gabriel Landeskog","25-26","COL","L",44,574.35,496,14.55,29.08,0.39,0.008,0.19,0.18,0.3,-0.08,0.009,0,0.18,0.01,0.17,0.01
"Gabriel Vilardi","25-26","WPG","C",58,866.45,612,14.64,29.24,0.52,0.018,0.2,0.2,0.36,-0.17,0.012,-0.005,0.17,0.02,0.18,0.03
"Gage Goncalves","25-26","T.B","C",54,594.82,589,14.09,28.21,0.35,0.013,0.18,0.17,0.23,-0.12,0.004,-0.009,0.15,0.03,0.14,0.03
"Garnet Hathaway","25-26","PHI","R",50,447.2,542,13.66,27.34,0.31,0.015,0.18,0.16,0.17,-0.14,0.005,-0.011,0.15,0.03,0.13,0.03
"Gavin Brindley","25-26","COL","C",45,392.15,551,13.95,27.97,0.26,0.009,0.15,0.16,0.24,-0.02,0.005,-0.004,0.13,0.02,0.14,0.02
"Gustav Forsling","25-26","FLA","D",59,1086.52,612,14.73,29.47,0.64,0.024,0.25,0.24,0.51,-0.13,0.026,0.001,0.23,0.02,0.23,0.01
"Gustav Nyquist","25-26","WPG","R",37,382.33,498,14.12,28.22,0.31,0.02,0.19,0.19,0.23,-0.08,0.01,-0.01,0.15,0.04,0.15,0.03
"Hampus Lindholm","25-26","BOS","D",45,759.38,557,14.53,29.04,0.49,0.021,0.21,0.21,0.28,-0.21,0.016,-0.005,0.18,0.03,0.19,0.02
"Harrison Brunicke","25-26","PIT","D",9,136.08,145,14.03,28.06,-0.2,-0.017,0.12,0.1,-0.09,0.1,-0.022,-0.005,0.1,0.01,0.09,0.01
"Hayden Hodgson","25-26","OTT","R",9,56.8,130,13.52,26.88,-0.17,-0.001,0.11,0.12,-0.2,-0.03,-0.018,-0.016,0.08,0.03,0.09,0.03
"Haydn Fleury","25-26","WPG","D",17,200.83,269,14.23,28.5,0.36,0.01,0.18,0.16,0.25,-0.11,0.003,-0.007,0.15,0.03,0.14,0.02
"Hendrix Lapierre","25-26","WSH","C",57,470.17,598,13.74,27.47,-0.01,-0.002,0.12,0.12,-0.02,-0.01,-0.007,-0.005,0.1,0.02,0.11,0.02
"Henri Jokiharju","25-26","BOS","D",35,565.55,425,14.36,28.72,0.48,0.015,0.2,0.19,0.37,-0.11,0.009,-0.006,0.17,0.02,0.17,0.02
"Henry Thrun","25-26","TOR","D",4,57.62,72,13.6,27.39,-0.31,-0.022,0.12,0.15,-0.43,-0.12,-0.016,0.007,0.1,0.02,0.14,0
"Hunter Brzustewicz","25-26","CGY","D",18,235.58,290,13.76,27.39,-0.13,-0.004,0.14,0.14,-0.11,0.02,-0.008,-0.004,0.1,0.03,0.11,0.03
"Ian Cole","25-26","UTA","D",59,872.68,624,14.06,28.14,0.21,0.009,0.18,0.17,0.21,0,0.003,-0.006,0.16,0.03,0.15,0.02
"Ian Moore","25-26","ANA","D",43,583.93,503,14.18,28.29,0.21,0.012,0.19,0.17,0.21,0,0.005,-0.007,0.16,0.03,0.15,0.03
"Igor Chernyshov","25-26","S.J","L",15,213.27,239,14.69,29.23,0.43,0.028,0.2,0.2,0.29,-0.15,0.014,-0.014,0.16,0.04,0.16,0.04
"Ilya Lyubushkin","25-26","DAL","D",41,589.72,495,14.15,28.43,0.51,0.015,0.18,0.18,0.38,-0.14,0.014,-0.002,0.17,0.01,0.17,0.01
"Ilya Mikheyev","25-26","CHI","R",54,783.17,623,14.68,29.33,0.55,0.022,0.23,0.22,0.53,-0.02,0.024,0.002,0.21,0.02,0.21,0.01
"Ilya Solovyov","25-26","COL","D",16,181.58,256,13.92,27.94,0.67,0.025,0.19,0.19,0.47,-0.2,0.013,-0.011,0.16,0.03,0.16,0.03
"Ilya Solovyov","25-26","PIT","D",5,66.52,90,14.09,28.18,-0.25,-0.021,0.16,0.13,-0.35,-0.1,-0.021,-0.001,0.14,0.02,0.11,0.02
"Isaac Howard","25-26","EDM","L",28,273.38,399,13.81,27.58,-0.25,-0.011,0.11,0.09,-0.1,0.14,-0.012,0,0.1,0.01,0.09,0
"Isac Lundestrom","25-26","CBJ","C",44,468.62,556,14.08,28.06,0.24,0.011,0.17,0.17,0.24,0,0.009,-0.002,0.15,0.02,0.15,0.02
"Isak Rosen","25-26","BUF","R",16,165.55,255,14.06,28.16,0.77,0.024,0.2,0.19,0.42,-0.35,0.023,-0.001,0.17,0.02,0.17,0.02
"Ivan Barbashev","25-26","VGK","L",59,892.15,596,14.72,29.48,0.57,0.018,0.22,0.22,0.45,-0.12,0.014,-0.004,0.2,0.02,0.2,0.02
"Ivan Demidov","25-26","MTL","R",59,713.62,600,14.42,28.83,0.37,0.016,0.2,0.19,0.25,-0.12,0.01,-0.006,0.17,0.03,0.16,0.03
"Ivan Ivan","25-26","COL","C",7,52.45,123,13.53,27.21,-0.08,0.022,0.2,0.2,-0.04,0.03,0.002,-0.02,0.13,0.07,0.14,0.06
"Ivan Provorov","25-26","CBJ","D",58,1180.07,629,14.52,28.97,0.55,0.022,0.21,0.21,0.42,-0.13,0.019,-0.003,0.19,0.02,0.18,0.02
"J.T. Compher","25-26","DET","L",60,762.18,609,14.23,28.42,0.42,0.01,0.2,0.19,0.38,-0.04,0.012,0.002,0.18,0.01,0.17,0.01
"J.T. Miller","25-26","NYR","C",50,750.85,547,14.81,29.55,0.69,0.023,0.24,0.25,0.56,-0.13,0.026,0.004,0.23,0.01,0.24,0.01
"Jaccob Slavin","25-26","CAR","D",19,322.4,262,14.72,29.57,0.82,0.034,0.24,0.22,0.48,-0.34,0.02,-0.014,0.2,0.04,0.19,0.04
"Jack Ahcan","25-26","COL","D",9,102.37,131,13.91,27.61,-0.36,-0.015,0.1,0.1,-0.18,0.19,-0.015,0,0.09,0.01,0.08,0.02
"Jack Devine","25-26","FLA","R",6,50.05,108,13.57,26.9,-0.75,-0.023,0.04,0.05,-0.42,0.33,-0.029,-0.006,0.03,0.01,0.04,0.01
"Jack Drury","25-26","COL","C",58,710.37,593,14.06,28.15,0.12,0.004,0.17,0.16,0.15,0.03,0.004,0,0.15,0.01,0.15,0.01
"Jack Eichel","25-26","VGK","C",51,800.43,564,14.8,29.65,0.58,0.018,0.23,0.23,0.46,-0.13,0.015,-0.003,0.21,0.02,0.21,0.02
"Jack Finley","25-26","T.B","C",22,176.48,336,13.34,26.68,-0.19,-0.009,0.13,0.12,-0.3,-0.11,-0.024,-0.015,0.08,0.05,0.08,0.04
"Jack Hughes","25-26","N.J","C",39,650.47,468,14.58,29.1,0.61,0.019,0.22,0.22,0.49,-0.12,0.021,0.002,0.2,0.02,0.2,0.02
"Jack McBain","25-26","UTA","C",59,696.08,623,14.17,28.36,0.21,0.007,0.19,0.18,0.26,0.05,0.005,-0.002,0.17,0.01,0.16,0.01
"Jack Quinn","25-26","BUF","R",60,789.18,602,14.32,28.66,0.55,0.019,0.19,0.19,0.39,-0.16,0.015,-0.004,0.17,0.02,0.17,0.02
"Jack Roslovic","25-26","EDM","C",48,714.4,601,14.38,28.73,0.18,0.005,0.17,0.17,0.26,0.09,0.008,0.003,0.16,0.01,0.16,0.01
"Jack St. Ivany","25-26","PIT","D",17,241.72,242,14.15,28.1,0.48,0.015,0.17,0.17,0.32,-0.16,0.01,-0.005,0.15,0.03,0.14,0.03
"Jack Studnicka","25-26","FLA","C",18,122.58,271,13.4,26.87,0.64,0.024,0.21,0.18,0.24,-0.41,0.001,-0.023,0.15,0.07,0.12,0.06
"Jackson Blake","25-26","CAR","R",59,818.8,621,14.19,28.42,0.24,0.012,0.18,0.17,0.17,-0.07,0.003,-0.009,0.15,0.03,0.15,0.03
"Jackson Lacombe","25-26","ANA","D",58,1065.92,602,14.64,29.2,0.42,0.013,0.21,0.21,0.36,-0.05,0.013,0,0.19,0.02,0.19,0.02
"Jacob Bernard-Docker","25-26","DET","D",44,593.9,502,14.29,28.59,0.73,0.024,0.23,0.22,0.54,-0.19,0.02,-0.004,0.21,0.02,0.2,0.02
"Jacob Bryson","25-26","BUF","D",35,344.22,431,13.79,27.58,0.57,0.015,0.15,0.16,0.29,-0.27,0.001,-0.014,0.11,0.04,0.12,0.04
"Jacob Melanson","25-26","SEA","R",24,229.77,330,13.9,27.72,0.09,-0.002,0.12,0.14,0.28,0.19,0.001,0.003,0.11,0.01,0.13,0.01
"Jacob Middleton","25-26","MIN","D",53,839.07,573,14.39,28.72,0.4,0.012,0.17,0.18,0.32,-0.09,0.016,0.004,0.17,0,0.17,0.01
"Jacob Moverare","25-26","L.A","D",15,131.33,222,13.87,27.83,-0.29,-0.011,0.13,0.12,-0.03,0.26,-0.006,0.005,0.13,0,0.12,0
"Jacob Trouba","25-26","ANA","D",57,1059.13,583,14.51,28.96,0.38,0.012,0.2,0.19,0.35,-0.03,0.01,-0.001,0.18,0.02,0.17,0.02
"Jaden Schwartz","25-26","SEA","L",39,519.43,466,14.63,29.13,0.3,0.011,0.2,0.21,0.25,-0.04,0.014,0.003,0.19,0.01,0.19,0.01
"Jake Bean","25-26","CGY","D",16,246.13,258,14.05,28.02,-0.24,-0.006,0.15,0.14,-0.09,0.15,-0.004,0.002,0.15,0,0.13,0.01
"Jake Christiansen","25-26","CBJ","D",32,319.57,430,13.76,27.48,-0.07,-0.004,0.14,0.14,-0.08,-0.01,-0.009,-0.005,0.12,0.02,0.12,0.02
"Jake Debrusk","25-26","VAN","L",58,714.78,640,14.54,29.03,0.32,0.017,0.22,0.21,0.35,0.03,0.017,0,0.2,0.02,0.19,0.01
"Jake Evans","25-26","MTL","C",45,525.18,524,14.38,28.65,0.3,0.016,0.21,0.2,0.25,-0.05,0.009,-0.007,0.17,0.03,0.17,0.03
"Jake Guentzel","25-26","T.B","C",58,819.42,599,14.48,28.97,0.53,0.019,0.19,0.19,0.38,-0.15,0.015,-0.005,0.17,0.02,0.16,0.02
"Jake McCabe","25-26","TOR","D",58,1106.23,627,14.67,29.32,0.69,0.028,0.23,0.23,0.54,-0.15,0.028,-0.001,0.21,0.02,0.21,0.02
"Jake Neighbours","25-26","STL","L",46,600.7,515,14.59,29.22,0.64,0.025,0.22,0.23,0.34,-0.3,0.015,-0.01,0.19,0.03,0.2,0.03
"Jake Sanderson","25-26","OTT","D",59,1047.53,627,14.75,29.46,0.44,0.015,0.22,0.22,0.4,-0.04,0.017,0.002,0.21,0.01,0.21,0.01
"Jake Walman","25-26","EDM","D",32,568.42,482,14.38,28.74,0.25,0.009,0.19,0.18,0.34,0.09,0.015,0.005,0.18,0.01,0.18,0
"Jakob Chychrun","25-26","WSH","D",60,1163.27,622,14.39,28.73,0.44,0.013,0.17,0.18,0.31,-0.13,0.008,-0.005,0.15,0.02,0.16,0.02
"Jalen Chatfield","25-26","CAR","D",52,903.88,572,14.59,29.22,0.57,0.023,0.21,0.21,0.37,-0.2,0.015,-0.008,0.19,0.03,0.18,0.03
"James Van Riemsdyk","25-26","DET","L",51,514.75,587,13.98,27.97,0.27,0.004,0.18,0.16,0.24,-0.03,0.003,0,0.16,0.01,0.15,0.01
"Jamie Benn","25-26","DAL","L",37,424.77,509,14.39,28.77,0.18,0.001,0.18,0.18,0.15,-0.03,0.004,0.003,0.17,0.02,0.16,0.02
"Jamie Drysdale","25-26","PHI","D",56,1048.38,604,14.3,28.62,0.6,0.02,0.2,0.19,0.41,-0.2,0.015,-0.005,0.17,0.02,0.17,0.02
"Jamie Oleksiak","25-26","SEA","D",57,858.98,597,14.18,28.32,0.12,0.003,0.16,0.17,0.14,0.03,0.004,0.001,0.15,0.02,0.16,0.01
"Jani Nyman","25-26","SEA","R",24,233.48,358,13.81,27.63,-0.22,-0.004,0.15,0.15,-0.02,0.19,-0.001,0.003,0.15,0,0.15,0
"Janis Moser","25-26","T.B","D",56,1045.68,579,14.65,29.32,0.6,0.021,0.22,0.22,0.47,-0.13,0.023,0.002,0.21,0.01,0.2,0.02
