"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"434","Philipp Kurashev","S.J","C","34","435.73333333333","12.81568627451","0.83","1.24","0.83","0.41","2.07","71.43","5.37","15.38","0.42","9.91","6.88","5.92","2.34","0.41","1.24","1.38","0.69","0.69","0","0","0.96","3.72","0.69","4.54","3.17","0.96","1.79","1.65","7.16"
"166","Josh Anderson","MTL","R","51","579.35","11.359803921569","0.83","0.62","0.31","0.31","1.45","66.67","5.07","16.33","0.63","10.46","7.77","6.52","3","0.1","1.35","3.73","1.55","1.35","0.21","0","1.55","2.9","0.41","9.42","2.59","1.97","1.86","0.83","7.17"
"239","David Pastrnak","BOS","R","52","791.55","15.222115384615","0.83","1.97","1.67","0.3","2.8","82.22","9.17","9.09","0.76","19.48","13.34","8.49","2.88","0.3","1.59","1.67","0.83","0.83","0","0","1.44","5.84","1.21","4.17","3.49","1.44","0.08","0.15","2.53"
"310","Noel Acciari","PIT","C","42","433.86666666667","10.330158730159","0.83","1.24","0.97","0.28","2.07","71.43","7.05","11.76","0.93","13","10.23","9.27","4.84","0.28","1.24","0.97","0.28","0.14","0.14","0","0.41","1.24","0.69","5.95","6.08","3.18","15.9","11.34","8.07"
"140","Scott Laughton","TOR","C","39","434.1","11.130769230769","0.83","0.28","0.28","0","1.11","61.54","5.25","15.79","0.67","10.64","9.81","5.11","2.76","0.28","0.97","1.66","0.83","0.83","0","0","1.24","3.73","0.69","9.4","2.07","2.9","24.6","21.7","7.34"
"697","Nick Lardis","CHI","L","21","217","10.333333333333","0.83","0.28","0.28","0","1.11","66.67","5.81","14.29","0.71","13.27","9.95","8.02","2.21","0","0.83","1.66","0.83","0.83","0","0","0.55","1.94","1.11","8.85","4.98","1.66","0.28","0.28","13.82"
"730","Ivan Demidov","MTL","R","57","659.05","11.562280701754","0.82","1.91","1.09","0.82","2.73","71.43","5.1","16.07","0.56","10.83","7.83","5.55","2.09","0.09","0.82","1.27","0.64","0.64","0","0","0.73","3.82","1.46","2","4.37","1.64","0","0","-"
"319","Troy Terry","ANA","R","45","586.76666666667","13.039259259259","0.82","1.64","0.92","0.72","2.45","70.59","6.85","11.94","0.77","14.62","10.74","7.67","3.99","0.61","1.53","1.23","0.61","0.61","0","0","0.61","3.17","1.74","0","3.58","0.92","0.31","0.31","5.11"
"103","Jean-Gabriel Pageau","NYI","C","50","586.75","11.735","0.82","1.02","0.51","0.51","1.84","78.26","3.89","21.05","0.56","7.87","6.44","5.32","3.17","0","0.41","0.2","0.1","0.1","0","0","0.2","2.86","0.82","6.65","5.01","3.27","30.88","20.96","6.09"
"502","Jack Hughes","N.J","C","36","585.66666666667","16.268518518519","0.82","0.92","0.41","0.51","1.74","80.95","8.5","9.64","0.91","17.11","12.4","10.65","3.79","0.1","2.15","0","0","0","0","0","0.61","5.43","1.74","0.2","2.66","1.43","5.43","9.63","3.69"
"638","Taylor Ward","L.A","R","15","145.96666666667","9.7311111111111","0.82","0.82","0.41","0.41","1.64","57.14","5.34","15.38","0.74","16.03","10.69","8.63","3.29","0.41","2.88","0","0","0","0","0","0.41","4.52","0.41","4.93","2.06","1.64","0.82","2.06","11.74"
"302","Joel Eriksson Ek","MIN","C","52","668.78333333333","12.861217948718","0.81","0.99","0.36","0.63","1.79","54.05","7.89","10.23","0.83","14.44","11.57","7.09","3.77","0.27","1.26","1.44","0.72","0.72","0","0","0.72","2.24","0.72","6.19","4.67","1.53","27.63","31.22","4.21"
"244","Ryan Donato","CHI","C","57","740","12.982456140351","0.81","0.89","0.49","0.41","1.7","75.00","5.43","14.93","0.72","12.57","9.73","6.49","3.32","0.49","0.89","2.59","0.97","0.89","0","0.08","0.89","2.59","1.46","4.95","5.35","0.97","6.49","6.65","4.00"
"552","Jack Quinn","BUF","R","57","736.76666666667","12.925730994152","0.81","1.63","1.22","0.41","2.44","76.92","7.82","10.42","0.82","15.47","12.54","8.39","3.18","0.24","1.14","0.81","0.41","0.41","0","0","0.49","3.99","0.73","2.12","5.37","1.55","0.08","0.57","1.02"
"101","Nick Cousins","OTT","C","56","595.43333333333","10.632738095238","0.81","0.81","0.4","0.4","1.61","66.67","5.24","15.38","0.6","9.47","7.46","5.54","2.72","0.2","1.21","6.15","2.12","1.81","0.1","0.2","1.61","3.33","1.11","11.69","8.26","2.82","1.11","1.31","4.62"
"493","Trevor Zegras","PHI","C","56","818","14.607142857143","0.81","1.17","0.81","0.37","1.98","64.29","5.87","13.75","0.7","12.18","9.68","6.75","3.23","0.29","1.03","1.32","0.66","0.66","0","0","0.66","3.52","0.95","1.76","3.89","1.1","3.52","7.41","2.36"
"404","Josh Norris","BUF","C","19","224.01666666667","11.790350877193","0.8","1.61","0.8","0.8","2.41","64.29","4.29","18.75","0.57","7.77","5.62","6.43","3.75","0.27","0.54","1.61","0.8","0.8","0","0","0.8","1.34","0.54","1.61","5.09","2.95","27.05","26.25","13.59"
"464","Connor Dewar","PIT","C","56","597.08333333333","10.662202380952","0.8","0.8","0.4","0.4","1.61","57.14","6.83","11.76","0.68","15.58","11.56","6.63","3.22","0.6","1.21","1","0.5","0.5","0","0","1.11","1.91","0.5","9.55","5.83","1","0.7","0.5","5.86"
"528","Dmitri Voronkov","CBJ","L","56","670.93333333333","11.980952380952","0.8","1.16","0.8","0.36","1.97","64.71","6.53","12.33","0.93","11.54","10.11","7.24","4.47","0.09","1.61","4.47","1.88","1.7","0.18","0","0.54","2.68","0.8","8.41","1.88","2.24","0.45","1.52","2.03"
