"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"88","Bryan Rust","PIT","R","70","236.88333333333","3.3840476190476","2.03","4.05","2.03","2.03","6.08","60.00","11.4","17.78","2.35","23.56","19.25","17.98","6.59","0","3.04","0","0","0","0","0","0.25","3.04","0.51","0.76","2.03","0","0","0.25","0.00"
"300","Zach Werenski","CBJ","D","71","208.23333333333","2.9328638497653","1.15","4.9","2.88","2.02","6.05","75.00","12.1","9.52","0.97","24.2","16.42","8.93","1.15","0","1.73","0","0","0","0","0","0","2.59","0.86","0","1.15","0.58","0","0","-"
"436","Drake Batherson","OTT","R","75","237.3","3.164","2.78","4.05","2.02","2.02","6.83","64.29","9.36","29.73","2.4","17.95","16.43","12.64","7.59","0","3.79","0.51","0.25","0.25","0","0","0.25","2.78","0.25","0.25","1.26","0","0.51","0","25.28"
"561","Matias Maccelli","TOR","L","66","118.61666666667","1.7972222222222","1.01","3.03","1.01","2.02","4.05","66.67","8.09","12.50","1.52","15.68","12.65","10.12","4.05","0","2.02","1.01","0.51","0.51","0","0","0.51","1.52","0.51","0","0.51","0","0","0","-"
"117","Mark Scheifele","WPG","C","77","239.4","3.1090909090909","1.75","3.26","1.25","2.01","5.01","60.61","9.52","18.42","1.38","14.79","12.78","8.77","3.76","0","2.26","0","0","0","0","0","0","5.26","0","0.5","1.75","0","21.55","21.8","12.46"
"290","Travis Konecny","PHI","R","74","210.15","2.8398648648649","0.57","3.43","1.43","2","4","70.00","9.42","6.06","2.14","20.84","17.13","15.7","6","0","0.86","1.14","0.57","0.57","0","0","0.57","1.43","0","0.29","2.28","0.29","0.29","2.28","3.17"
"400","Morgan Geekie","BOS","C","78","242.25","3.1057692307692","2.97","2.97","0.99","1.98","5.94","57.14","13.62","21.82","2","25.02","21.3","10.4","4.71","0","2.48","0.99","0.5","0.5","0","0","0.5","1.49","0.74","1.24","1.49","0.5","4.21","4.21","12.38"
"414","Robert Thomas","STL","C","59","152.21666666667","2.5799435028249","1.18","3.94","1.97","1.97","5.12","72.22","7.1","16.67","0.81","12.61","8.28","8.67","1.97","0","0.79","0","0","0","0","0","0","4.73","0.39","0.39","2.76","0","26.41","17.34","23.79"
"125","Stefan Noesen","N.J","R","38","61.333333333333","1.6140350877193","0.98","1.96","0","1.96","2.93","42.86","13.7","7.14","3.26","21.52","20.54","18.59","14.67","0","6.85","0","0","0","0","0","0.98","2.93","0","0","3.91","0","6.85","11.74","36.04"
"280","Vince Dunn","SEA","D","76","214.96666666667","2.8285087719298","0.56","5.02","3.07","1.95","5.58","74.07","12.28","4.55","0.84","23.45","15.35","6.42","0.56","0.28","2.79","1.67","0.84","0.84","0","0","0","1.67","1.12","0.28","0.28","0.28","0","0","-"
"634","Yegor Chinakhov","CBJ, PIT","R","69","93","1.3478260869565","1.29","2.58","0.65","1.94","3.87","54.55","9.68","13.33","0.89","20","15.48","8.39","0.65","0","1.29","1.29","0.65","0.65","0","0","0","1.94","0.65","0.65","0.65","1.29","0","0","-"
"800","Macklin Celebrini","S.J","C","76","285.75","3.7598684210526","1.47","5.04","3.15","1.89","6.51","77.50","14.91","9.86","1.71","31.92","22.68","16.8","3.36","0","3.36","1.68","0.84","0.84","0","0","0.84","3.99","0","0.63","1.47","0","13.65","10.29","11.97"
"815","Matthew Schaefer","NYI","D","78","253.3","3.2474358974359","1.89","2.37","0.47","1.89","4.26","64.29","9.95","19.05","0.88","27.71","14.69","10.9","0.95","0","2.61","0.47","0.24","0.24","0","0","0","1.66","1.66","0","1.66","0.47","0","0","-"
"365","Pierre-Luc Dubois","WSH","C, L","26","63.783333333333","2.4532051282051","2.82","2.82","0.94","1.88","5.64","100.00","9.41","30.00","1.97","15.99","13.17","10.35","6.58","0","1.88","0","0","0","0","0","0","4.7","0","0","0.94","0","23.52","14.11","58.79"
